group_name	dmel_cre_id	tier1_scope	is_focal_tier1	is_singleton_tier1	discordant_species	discordant_state	consensus_state	group_species	n_group_species	dmel_fbgn_target_genes	dmel_chrom	dmel_start0	dmel_end0	training_set	method	dmel_scrmshaw_score	dmel_rank	n_species_expected	n_species_passing_qc	candidate_qc
repleta_group	DMEL_CRE_00255	secondary_only	no	yes	d_arizonae	present	turnover_candidate	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4	FBgn0041092|FBgn0032101	NT_033779.5	9190020	9190640	adult_muscle	imm	12.0968	278	4	4	PASS
repleta_group	DMEL_CRE_00275	secondary_only	no	yes	d_buzzatii	turnover_candidate	present	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4	FBgn0032602|FBgn0032601	NT_033779.5	16760700	16762600	adult_muscle	imm	48.5812	5	4	4	PASS
repleta_group	DMEL_CRE_00310	secondary_only	no	yes	d_arizonae	present	turnover_candidate	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4	FBgn0003149|FBgn0040828	NT_037436.4	8744370	8745020	adult_muscle	imm	13.5706	156	4	4	PASS
repleta_group	DMEL_CRE_00331	secondary_only	no	yes	d_buzzatii	present	turnover_candidate	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4	FBgn0000567|FBgn0036740	NT_037436.4	17606600	17607300	adult_muscle	imm	12.1868	246	4	4	PASS
rufa_group	DMEL_CRE_00004	secondary_only	no	yes	dbun	present	turnover_candidate	druf|dkik|dbun|dbir|d_serrata	5	FBgn0025390	NC_004354.4	1640140	1640770	adult_muscle	imm	14.236	186	5	5	PASS
rufa_group	DMEL_CRE_00052	secondary_only	no	yes	dkik	turnover_candidate	present	druf|dkik|dbun|dbir|d_serrata	5	FBgn0004198|FBgn0029952	NC_004354.4	7626840	7627730	adult_muscle	imm	18.9842	26	5	5	PASS
rufa_group	DMEL_CRE_00065	secondary_only	no	yes	d_serrata	present	turnover_candidate	druf|dkik|dbun|dbir|d_serrata	5	FBgn0261260|FBgn0266050	NC_004354.4	9467700	9468580	adult_muscle	imm	14.703	41	5	5	PASS
rufa_group	DMEL_CRE_00082	secondary_only	no	yes	dbir	present	turnover_candidate	druf|dkik|dbun|dbir|d_serrata	5	FBgn0030412|FBgn0015024	NC_004354.4	12649140	12650120	adult_muscle	imm	26.5391	8	5	5	PASS
rufa_group	DMEL_CRE_00178	secondary_only	no	yes	dbun	present	turnover_candidate	druf|dkik|dbun|dbir|d_serrata	5	FBgn0003118|FBgn0267759	NT_033777.3	23333170	23333740	adult_muscle	imm	15.2433	236	5	5	PASS
rufa_group	DMEL_CRE_00321	secondary_only	no	yes	dbir	present	turnover_candidate	druf|dkik|dbun|dbir|d_serrata	5	FBgn0041094|FBgn0265928	NT_037436.4	11260400	11260980	adult_muscle	imm	12.1373	233	5	5	PASS
rufa_group	DMEL_CRE_00330	secondary_only	no	yes	d_serrata	turnover_candidate	present	druf|dkik|dbun|dbir|d_serrata	5	FBgn0000567|FBgn0086080	NT_037436.4	17590310	17591140	adult_muscle	imm	19.8971	30	5	5	PASS
rufa_group	DMEL_CRE_00331	secondary_only	no	yes	d_serrata	present	turnover_candidate	druf|dkik|dbun|dbir|d_serrata	5	FBgn0000567|FBgn0036740	NT_037436.4	17606600	17607300	adult_muscle	imm	12.1868	246	5	5	PASS
teissieri_group	DMEL_CRE_00019	secondary_only	no	yes	dsuz	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0283657|FBgn0263532	NC_004354.4	3749780	3750550	adult_muscle	imm	11.2697	268	4	4	PASS
teissieri_group	DMEL_CRE_00021	secondary_only	no	yes	d_lutescens	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0283657|FBgn0263532	NC_004354.4	3768220	3768810	adult_muscle	imm	12.5103	337	4	4	PASS
teissieri_group	DMEL_CRE_00029	secondary_only	no	yes	dsuz	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0266098|FBgn0029747	NC_004354.4	5165620	5166280	adult_muscle	imm	13.4535	245	4	4	PASS
teissieri_group	DMEL_CRE_00064	secondary_only	no	yes	d_simulans	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0261260|FBgn0266050	NC_004354.4	9428350	9429040	adult_muscle	imm	15.4617	160	4	4	PASS
teissieri_group	DMEL_CRE_00072	secondary_only	no	yes	d_simulans	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0052666|FBgn0265749	NC_004354.4	11510170	11510770	adult_muscle	imm	14.5798	185	4	4	PASS
teissieri_group	DMEL_CRE_00078	secondary_only	no	yes	dsuz	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0267001|FBgn0267163	NC_004354.4	12270630	12271270	adult_muscle	imm	11.434	287	4	4	PASS
teissieri_group	DMEL_CRE_00083	secondary_only	no	yes	d_simulans	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0265523|FBgn0264678	NC_004354.4	12733500	12734080	adult_muscle	imm	10.5168	270	4	4	PASS
teissieri_group	DMEL_CRE_00115	secondary_only	no	yes	dsuz	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0285944|FBgn0030756	NC_004354.4	16534230	16535100	adult_muscle	imm	14.6028	167	4	4	PASS
teissieri_group	DMEL_CRE_00151	secondary_only	no	yes	dsuz	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0262127|FBgn0038256	NT_033777.3	14713720	14714560	adult_muscle	imm	13.1775	107	4	4	PASS
teissieri_group	DMEL_CRE_00152	secondary_only	no	yes	d_simulans	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0262127|FBgn0038256	NT_033777.3	14715810	14716660	adult_muscle	imm	10.7887	274	4	4	PASS
teissieri_group	DMEL_CRE_00153	secondary_only	no	yes	dsuz	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0262127|FBgn0038256	NT_033777.3	14718890	14719620	adult_muscle	imm	17.4636	98	4	4	PASS
teissieri_group	DMEL_CRE_00164	secondary_only	no	yes	d_lutescens	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0004652|FBgn0051122	NT_033777.3	18442850	18443480	adult_muscle	imm	13.6572	148	4	4	PASS
teissieri_group	DMEL_CRE_00203	secondary_only	no	yes	d_lutescens	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0033627|FBgn0041241	NT_033778.4	11366440	11367050	adult_muscle	imm	12.8118	181	4	4	PASS
teissieri_group	DMEL_CRE_00330	secondary_only	no	yes	d_lutescens	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0000567|FBgn0086080	NT_037436.4	17590310	17591140	adult_muscle	imm	19.8971	30	4	4	PASS
teissieri_group	DMEL_CRE_00331	secondary_only	no	yes	d_lutescens	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0000567|FBgn0036740	NT_037436.4	17606600	17607300	adult_muscle	imm	12.1868	246	4	4	PASS
