group_name	dmel_cre_id	tier1_scope	is_focal_tier1	is_singleton_tier1	species	role	expected_state	observed_class	alignment_status	target_chrom	target_start0	target_end0	best_peak_id	best_overlap_bp	best_overlap_fraction_lifted	best_overlap_fraction_peak	positional_peak	same_fbgn_peak_local	local_same_fbgn_peak_id	local_same_fbgn	best_local_same_fbgn_distance_bp	shared_fbgn_with_best_peak	gene_support_at_best_peak	species_qc
azteca_affinis_miranda_group	DMEL_CRE_00310	focal	yes	yes	dazt	discordant	turnover_candidate	turnover_candidate	mapped	VCKU01000016.1	3615627	3616415		0	0.000000	0.000000	no	yes	dazt_PEAK_00002	FBgn0003149	2336.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00330	focal	yes	yes	d_affinis	consensus	present	present	mapped	contig_14	25802208	25803024	d_affinis_PEAK_00248	644	0.789216	0.990769	yes	yes	d_affinis_PEAK_00044	FBgn0000567	0.0	FBgn0000567	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00330	focal	yes	yes	dmir	consensus	present	present	mapped	NC_046674.1	23028006	23028887	dmir_PEAK_00128	857	0.972758	0.714167	yes	yes	dmir_PEAK_00050	FBgn0000567	0.0	FBgn0000567	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00330	focal	yes	yes	dper	consensus	present	present	mapped	NW_020825312.1	3272812	3273712	dper_PEAK_00218	792	0.880000	0.870330	yes	yes	dper_PEAK_00037	FBgn0000567	0.0	FBgn0000567	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00330	focal	yes	yes	dazt	discordant	turnover_candidate	turnover_candidate	mapped	VCKU01000016.1	4524192	4525090		0	0.000000	0.000000	no	yes	dazt_PEAK_00052	FBgn0000567	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00331	focal	yes	yes	d_affinis	consensus	present	present	mapped	contig_14	25818444	25819314	d_affinis_PEAK_00101	814	0.935632	0.969048	yes	yes	d_affinis_PEAK_00044	FBgn0000567	0.0	FBgn0000567|FBgn0036740	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00331	focal	yes	yes	dmir	consensus	present	present	mapped	NC_046674.1	23011016	23011888	dmir_PEAK_00104	824	0.944954	0.936364	yes	yes	dmir_PEAK_00050	FBgn0000567	0.0	FBgn0000567|FBgn0036740	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00331	focal	yes	yes	dper	consensus	present	present	mapped	NW_020825312.1	3255814	3256704	dper_PEAK_00043	846	0.950562	0.881250	yes	yes	dper_PEAK_00037	FBgn0000567	0.0	FBgn0000567|FBgn0036740	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00331	focal	yes	yes	dazt	discordant	turnover_candidate	turnover_candidate	mapped	VCKU01000016.1	4541461	4542380		0	0.000000	0.000000	no	yes	dazt_PEAK_00052	FBgn0000567	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00052	focal	yes	yes	dfor	consensus	present	present	mapped	contig_28	1510190	1511173	dfor_PEAK_00057	520	0.528993	0.619048	yes	yes	dfor_PEAK_00002	FBgn0004198	0.0	FBgn0004198|FBgn0029952	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00052	focal	yes	yes	dnas	consensus	present	present	mapped	CM042376.1	987376	988440	dnas_PEAK_00045	920	0.864662	0.621622	yes	yes	dnas_PEAK_00045	FBgn0004198	0.0	FBgn0004198	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00052	focal	yes	yes	dsul	consensus	present	present	mapped	JAJJHZ010001261.1	539553	541325	dsul_PEAK_00073	1200	0.677201	1.000000	yes	yes	dsul_PEAK_00023	FBgn0004198	0.0	FBgn0004198|FBgn0029952	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00052	focal	yes	yes	dimm	discordant	turnover_candidate	turnover_candidate	mapped	JAECXZ010000294.1	6829694	6830658		0	0.000000	0.000000	no	yes	dimm_PEAK_00041	FBgn0004198	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00077	focal	yes	yes	dfor	consensus	turnover_candidate	turnover_candidate	mapped	contig_143	70798	71273		0	0.000000	0.000000	no	yes	dfor_PEAK_00430	FBgn0267001	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00077	focal	yes	yes	dnas	consensus	turnover_candidate	turnover_candidate	mapped	CM042376.1	26508910	26509497		0	0.000000	0.000000	no	yes	dnas_PEAK_00106	FBgn0267001	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00077	focal	yes	yes	dsul	consensus	turnover_candidate	turnover_candidate	mapped	JAJJHZ010002589.1	4697581	4698143		0	0.000000	0.000000	no	yes	dsul_PEAK_00496	FBgn0267001	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00077	focal	yes	yes	dimm	discordant	present	present	mapped	JAECXZ010000403.1	2092110	2092605	dimm_PEAK_00453	495	1.000000	0.773438	yes	yes	dimm_PEAK_00126	FBgn0267001	0.0		discordant_fbgn	PASS
obscura_group	DMEL_CRE_00065	focal	yes	yes	dbif	consensus	turnover_candidate	turnover_candidate	mapped	CM019041.1	40498254	40498816		0	0.000000	0.000000	no	yes	dbif_PEAK_00443	FBgn0261260	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00065	focal	yes	yes	dobs	consensus	turnover_candidate	turnover_candidate	mapped	NW_024542865.1	544398	545068		0	0.000000	0.000000	no	yes	dobs_PEAK_00025	FBgn0261260	1025.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00065	focal	yes	yes	dsub	discordant	present	present	mapped	NC_048530.1	4429006	4429727	dsub_PEAK_00135	667	0.925104	0.926389	yes	yes	dsub_PEAK_00135	FBgn0261260	0.0	FBgn0261260	shared_fbgn	PASS
obscura_group	DMEL_CRE_00093	focal	yes	yes	dbif	consensus	turnover_candidate	turnover_candidate	mapped	CM019041.1	30609415	30610601		0	0.000000	0.000000	no	yes	dbif_PEAK_00492	FBgn0004169	281.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00093	focal	yes	yes	dobs	consensus	turnover_candidate	turnover_candidate	mapped	NW_024542865.1	9749034	9749915		0	0.000000	0.000000	no	yes	dobs_PEAK_00544	FBgn0004169	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00093	focal	yes	yes	dsub	discordant	present	present	mapped	NC_048530.1	10868312	10869304	dsub_PEAK_00214	750	0.756048	1.000000	yes	yes	dsub_PEAK_00214	FBgn0004169	0.0	FBgn0004169	shared_fbgn	PASS
obscura_group	DMEL_CRE_00121	focal	yes	yes	dbif	consensus	present	present	mapped	CM019041.1	7750369	7750793	dbif_PEAK_00171	424	1.000000	0.605714	yes	yes	dbif_PEAK_00083	FBgn0030886	0.0	FBgn0030886	shared_fbgn	PASS
obscura_group	DMEL_CRE_00121	focal	yes	yes	dobs	consensus	present	present	mapped	NW_024542752.1	1554184	1554593	dobs_PEAK_00410	409	1.000000	0.693220	yes	yes	dobs_PEAK_00288	FBgn0030886	0.0	FBgn0030886	shared_fbgn	PASS
obscura_group	DMEL_CRE_00121	focal	yes	yes	dsub	discordant	turnover_candidate	turnover_candidate	mapped	NC_048530.1	21278350	21278796		0	0.000000	0.000000	no	yes	dsub_PEAK_00155	FBgn0030886	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00122	focal	yes	yes	dbif	consensus	present	present	mapped	CM019041.1	2586164	2587676	dbif_PEAK_00069	930	0.615079	1.000000	yes	yes	dbif_PEAK_00069	FBgn0283471	0.0	FBgn0283471	shared_fbgn	PASS
obscura_group	DMEL_CRE_00122	focal	yes	yes	dobs	consensus	present	present	mapped	NW_024542816.1	1269189	1270773	dobs_PEAK_00036	860	0.542929	1.000000	yes	yes	dobs_PEAK_00036	FBgn0283471	0.0	FBgn0283471	shared_fbgn	PASS
obscura_group	DMEL_CRE_00122	focal	yes	yes	dsub	discordant	turnover_candidate	turnover_candidate	mapped	NC_048530.1	6344720	6346269	dsub_PEAK_00274	710	0.458360	1.000000	no	yes	dsub_PEAK_00077	FBgn0283471	0.0	FBgn0283471	shared_fbgn	PASS
obscura_group	DMEL_CRE_00152	focal	yes	yes	dbif	consensus	present	present	mapped	CM019044.1	6600639	6601692	dbif_PEAK_00308	611	0.580247	0.985484	yes	yes	dbif_PEAK_00112	FBgn0262127	0.0	FBgn0038256|FBgn0262127	shared_fbgn	PASS
obscura_group	DMEL_CRE_00152	focal	yes	yes	dobs	consensus	present	present	mapped	NW_024542736.1	6684551	6685642	dobs_PEAK_00443	620	0.568286	1.000000	yes	yes	dobs_PEAK_00091	FBgn0262127	0.0	FBgn0038256|FBgn0262127	shared_fbgn	PASS
obscura_group	DMEL_CRE_00152	focal	yes	yes	dsub	discordant	turnover_candidate	turnover_candidate	mapped	NC_048533.1	13499148	13500166		0	0.000000	0.000000	no	yes	dsub_PEAK_00305	FBgn0262127	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00276	focal	yes	yes	dbif	consensus	present	present	mapped	CM019042.1	12441788	12442731	dbif_PEAK_00067	820	0.869565	1.000000	yes	yes	dbif_PEAK_00022	FBgn0264695	327.0	FBgn0032602|FBgn0264695	shared_fbgn	PASS
obscura_group	DMEL_CRE_00276	focal	yes	yes	dobs	consensus	present	present	mapped	NW_024542791.1	6529864	6530481	dobs_PEAK_00041	617	1.000000	0.725882	yes	yes	dobs_PEAK_00003	FBgn0032602	0.0	FBgn0032602|FBgn0264695	shared_fbgn	PASS
obscura_group	DMEL_CRE_00276	focal	yes	yes	dsub	discordant	turnover_candidate	turnover_candidate	mapped	NC_048534.1	10335584	10336246		0	0.000000	0.000000	no	yes	dsub_PEAK_00006	FBgn0264695	672.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00309	focal	yes	yes	dbif	consensus	turnover_candidate	turnover_candidate	mapped	CM019043.1	46400278	46400715	dbif_PEAK_00137	82	0.187643	0.101235	no	yes	dbif_PEAK_00137	FBgn0016694	0.0	FBgn0016694|FBgn0052365	shared_fbgn	PASS
obscura_group	DMEL_CRE_00309	focal	yes	yes	dobs	consensus	turnover_candidate	turnover_candidate	mapped	NW_024542679.1	7352603	7353047	dobs_PEAK_00089	337	0.759009	0.426582	no	yes	dobs_PEAK_00089	FBgn0016694	0.0	FBgn0016694|FBgn0052365	shared_fbgn	PASS
obscura_group	DMEL_CRE_00309	focal	yes	yes	dsub	discordant	present	present	mapped	NC_048532.1	23469486	23470237	dsub_PEAK_00183	447	0.595206	0.667164	yes	yes	dsub_PEAK_00183	FBgn0052365	0.0	FBgn0016694|FBgn0052365	shared_fbgn	PASS
repleta_group	DMEL_CRE_00306	focal	yes	yes	d_arizonae	consensus	present	present	mapped	NW_017127684.1	5406358	5407362	d_arizonae_PEAK_00329	640	0.637450	1.000000	yes	yes	d_arizonae_PEAK_00329	FBgn0035719	0.0	FBgn0035719	shared_fbgn	PASS
repleta_group	DMEL_CRE_00306	focal	yes	yes	d_buzzatii	consensus	present	present	mapped	contig_505	8266112	8267133	d_buzzatii_PEAK_00149	680	0.666014	1.000000	yes	yes	d_buzzatii_PEAK_00149	FBgn0035719	0.0	FBgn0035719	shared_fbgn	PASS
repleta_group	DMEL_CRE_00306	focal	yes	yes	d_mojavensis	consensus	present	present	mapped	NW_025318899.1	8010754	8011764	d_mojavensis_PEAK_00359	610	0.603960	1.000000	yes	yes	d_mojavensis_PEAK_00359	FBgn0035719	0.0	FBgn0035719	shared_fbgn	PASS
repleta_group	DMEL_CRE_00306	focal	yes	yes	d_repleta	discordant	turnover_candidate	turnover_candidate	mapped	JAEIGN010000753.1	1453705	1454700		0	0.000000	0.000000	no	yes	d_repleta_PEAK_00467	FBgn0035719	0.0		no_peak_at_locus	PASS
rufa_group	DMEL_CRE_00151	focal	yes	yes	d_serrata	consensus	present	present	mapped	contig_233	70216	70907	d_serrata_PEAK_00024	594	0.859624	0.588119	yes	yes	d_serrata_PEAK_00024	FBgn0262127	0.0	FBgn0038256|FBgn0262127	shared_fbgn	PASS
rufa_group	DMEL_CRE_00151	focal	yes	yes	dbir	consensus	present	present	mapped	contig_64	4804562	4805202	dbir_PEAK_00365	432	0.675000	0.757895	yes	yes	dbir_PEAK_00253	FBgn0262127	0.0	FBgn0262127	shared_fbgn	PASS
rufa_group	DMEL_CRE_00151	focal	yes	yes	dbun	consensus	present	present	mapped	contig_100	5254254	5255473	dbun_PEAK_00121	636	0.521739	0.935294	yes	yes	dbun_PEAK_00072	FBgn0262127	0.0	FBgn0038256|FBgn0262127	shared_fbgn	PASS
rufa_group	DMEL_CRE_00151	focal	yes	yes	dkik	consensus	present	present	mapped	NW_024571315.1	19354922	19355873	dkik_PEAK_00063	613	0.644585	0.851389	yes	yes	dkik_PEAK_00055	FBgn0262127	0.0	FBgn0038256|FBgn0262127	shared_fbgn	PASS
rufa_group	DMEL_CRE_00151	focal	yes	yes	druf	discordant	turnover_candidate	turnover_candidate	mapped	JAECXS010000001.1	25638665	25639318		0	0.000000	0.000000	no	yes	druf_PEAK_00033	FBgn0262127	0.0		no_peak_at_locus	PASS
rufa_group	DMEL_CRE_00154	focal	yes	yes	d_serrata	consensus	present	present	mapped	contig_360	1135300	1136070	d_serrata_PEAK_00349	410	0.532468	0.719298	yes	yes	d_serrata_PEAK_00349	FBgn0262483	0.0	FBgn0038331|FBgn0262483	shared_fbgn	PASS
rufa_group	DMEL_CRE_00154	focal	yes	yes	dbir	consensus	present	present	mapped	contig_64	11464400	11465160	dbir_PEAK_00025	610	0.802632	0.655914	yes	yes	dbir_PEAK_00025	FBgn0262483	0.0	FBgn0038331|FBgn0262483	shared_fbgn	PASS
rufa_group	DMEL_CRE_00154	focal	yes	yes	dbun	consensus	present	present	mapped	contig_130	8761390	8762212	dbun_PEAK_00288	530	0.644769	0.757143	yes	yes	dbun_PEAK_00288	FBgn0262483	0.0	FBgn0038331|FBgn0262483	shared_fbgn	PASS
rufa_group	DMEL_CRE_00154	focal	yes	yes	dkik	consensus	present	present	mapped	NW_024571315.1	11821597	11822345	dkik_PEAK_00376	383	0.512032	0.696364	yes	yes	dkik_PEAK_00376	FBgn0262483	0.0	FBgn0038331|FBgn0262483	shared_fbgn	PASS
rufa_group	DMEL_CRE_00154	focal	yes	yes	druf	discordant	turnover_candidate	turnover_candidate	mapped	JAECXS010000001.1	14431059	14431862	druf_PEAK_00401	392	0.488169	0.687719	no	yes	druf_PEAK_00401	FBgn0262483	0.0	FBgn0038331|FBgn0262483	shared_fbgn	PASS
teissieri_group	DMEL_CRE_00017	focal	yes	yes	d_lutescens	consensus	turnover_candidate	turnover_candidate	mapped	contig_1034	515053	515503		0	0.000000	0.000000	no	yes	d_lutescens_PEAK_00182	FBgn0283657	0.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00017	focal	yes	yes	d_simulans	consensus	turnover_candidate	turnover_candidate	mapped	NC_052525.2	3405320	3405860		0	0.000000	0.000000	no	yes	d_simulans_PEAK_00100	FBgn0283657	0.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00017	focal	yes	yes	dsuz	consensus	turnover_candidate	turnover_candidate	mapped	NW_023496841.1	2426571	2427104		0	0.000000	0.000000	no	yes	dsuz_PEAK_00024	FBgn0283657	0.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00017	focal	yes	yes	dtei	discordant	present	present	mapped	NC_053034.1	4924092	4924636	dtei_PEAK_00100	544	1.000000	0.688608	yes	yes	dtei_PEAK_00045	FBgn0283657	0.0	FBgn0015286|FBgn0283657	shared_fbgn	PASS
teissieri_group	DMEL_CRE_00030	focal	yes	yes	d_lutescens	consensus	present	present	mapped	contig_661	126344	127232	d_lutescens_PEAK_00048	880	0.990991	1.000000	yes	yes	d_lutescens_PEAK_00048	FBgn0266098	0.0	FBgn0266098	shared_fbgn	PASS
teissieri_group	DMEL_CRE_00030	focal	yes	yes	d_simulans	consensus	present	present	mapped	NC_052525.2	4878396	4879371	d_simulans_PEAK_00022	960	0.984615	1.000000	yes	yes	d_simulans_PEAK_00022	FBgn0266098	0.0	FBgn0266098	shared_fbgn	PASS
teissieri_group	DMEL_CRE_00030	focal	yes	yes	dsuz	consensus	present	present	mapped	NW_023496846.1	1364788	1365712	dsuz_PEAK_00035	922	0.997835	0.970526	yes	yes	dsuz_PEAK_00035	FBgn0266098	0.0	FBgn0266098	shared_fbgn	PASS
teissieri_group	DMEL_CRE_00030	focal	yes	yes	dtei	discordant	turnover_candidate	turnover_candidate	mapped	NC_053034.1	3463105	3464053		0	0.000000	0.000000	no	yes	dtei_PEAK_00167	FBgn0266098	0.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00106	focal	yes	yes	d_lutescens	consensus	turnover_candidate	turnover_candidate	mapped	contig_661	795596	796314		0	0.000000	0.000000	no	yes	d_lutescens_PEAK_00083	FBgn0003463	613.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00106	focal	yes	yes	d_simulans	consensus	turnover_candidate	turnover_candidate	mapped	NC_052525.2	15065965	15066645		0	0.000000	0.000000	no	yes	d_simulans_PEAK_00314	FBgn0003463	0.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00106	focal	yes	yes	dsuz	consensus	turnover_candidate	turnover_candidate	mapped	NW_023496845.1	13388848	13389513		0	0.000000	0.000000	no	yes	dsuz_PEAK_00129	FBgn0003463	774.0		no_peak_at_locus	PASS
teissieri_group	DMEL_CRE_00106	focal	yes	yes	dtei	discordant	present	present	mapped	NC_053034.1	12782059	12782822	dtei_PEAK_00048	721	0.944954	0.948684	yes	yes	dtei_PEAK_00048	FBgn0003463	0.0	FBgn0003463	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00078	secondary_only	no	yes	dazt	consensus	present	present	mapped	VCKU01000014.1	2985317	2986029	dazt_PEAK_00054	689	0.967697	0.748913	yes	yes	dazt_PEAK_00054	FBgn0267001	0.0	FBgn0267001	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00078	secondary_only	no	yes	dmir	consensus	present	present	mapped	NC_046674.1	25818741	25819395	dmir_PEAK_00217	639	0.977064	0.939706	yes	yes	dmir_PEAK_00217	FBgn0267001	0.0	FBgn0267001	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00078	secondary_only	no	yes	dper	consensus	present	present	mapped	NW_020825312.1	5858622	5859269	dper_PEAK_00265	598	0.924266	0.866667	yes	yes	dper_PEAK_00265	FBgn0267001	0.0	FBgn0267001	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00078	secondary_only	no	yes	d_affinis	discordant	turnover_candidate	turnover_candidate	mapped	contig_14	11628080	11628780		0	0.000000	0.000000	no	yes	d_affinis_PEAK_00134	FBgn0267001	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00275	secondary_only	no	yes	d_affinis	consensus	turnover_candidate	turnover_candidate	mapped	contig_95	4937320	4939513	d_affinis_PEAK_00225	730	0.332877	1.000000	no	yes	d_affinis_PEAK_00225	FBgn0032602	2515.0	FBgn0032601|FBgn0032602	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00275	secondary_only	no	yes	dazt	consensus	turnover_candidate	turnover_candidate	mapped	VCKU01000091.1	9825721	9827918	dazt_PEAK_00059	900	0.409650	1.000000	no	yes	dazt_PEAK_00188	FBgn0032602	1051.0	FBgn0032601|FBgn0032602	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00275	secondary_only	no	yes	dmir	consensus	turnover_candidate	turnover_candidate	mapped	NC_046677.1	25620882	25623031	dmir_PEAK_00008	1060	0.493253	1.000000	no	yes	dmir_PEAK_00088	FBgn0032602	902.0	FBgn0032601|FBgn0032602	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00275	secondary_only	no	yes	dper	discordant	present	present	mapped	NW_020825298.1	9922119	9924265	dper_PEAK_00014	1160	0.540541	1.000000	yes	yes	dper_PEAK_00324	FBgn0032602	1099.0	FBgn0032601|FBgn0032602	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00080	secondary_only	no	yes	dfor	consensus	turnover_candidate	turnover_candidate	mapped	contig_143	309835	310701		0	0.000000	0.000000	no	yes	dfor_PEAK_00430	FBgn0267001	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00080	secondary_only	no	yes	dimm	consensus	turnover_candidate	turnover_candidate	mapped	JAECXZ010000403.1	2334969	2335894		0	0.000000	0.000000	no	yes	dimm_PEAK_00126	FBgn0267001	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00080	secondary_only	no	yes	dsul	consensus	turnover_candidate	turnover_candidate	mapped	JAJJHZ010002589.1	4979845	4980826		0	0.000000	0.000000	no	yes	dsul_PEAK_00496	FBgn0267001	0.0		no_peak_at_locus	PASS
immigrans_group	DMEL_CRE_00080	secondary_only	no	yes	dnas	discordant	present	present	mapped	CM042376.1	26228119	26229053	dnas_PEAK_00282	523	0.559957	0.780597	yes	yes	dnas_PEAK_00106	FBgn0267001	0.0		discordant_fbgn	PASS
immigrans_group	DMEL_CRE_00186	secondary_only	no	yes	dimm	consensus	present	present	mapped	JAECXZ010000125.1	17533358	17534508	dimm_PEAK_00247	592	0.514783	0.768831	yes	yes	dimm_PEAK_00247	FBgn0039588	7997.0	FBgn0003137|FBgn0039588	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00186	secondary_only	no	yes	dnas	consensus	present	present	mapped	CM042373.1	17329356	17329979	dnas_PEAK_00077	623	1.000000	0.778750	yes	yes	dnas_PEAK_00077	FBgn0039588	8469.0	FBgn0003137|FBgn0039588	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00186	secondary_only	no	yes	dsul	consensus	present	present	mapped	JAJJHZ010001847.1	1968098	1968706	dsul_PEAK_00401	496	0.815789	0.826667	yes	yes	dsul_PEAK_00401	FBgn0039588	8686.0	FBgn0003137|FBgn0039588	shared_fbgn	PASS
immigrans_group	DMEL_CRE_00186	secondary_only	no	yes	dfor	discordant	turnover_candidate	turnover_candidate	mapped	contig_272	7479562	7480778	dfor_PEAK_00335	568	0.467105	0.901587	no	yes	dfor_PEAK_00335	FBgn0039588	8438.0	FBgn0003137|FBgn0039588	shared_fbgn	PASS
obscura_group	DMEL_CRE_00003	secondary_only	no	yes	dbif	consensus	present	present	mapped	CM019041.1	5606091	5606879	dbif_PEAK_00517	719	0.912437	0.998611	yes	yes	dbif_PEAK_00517	FBgn0020381	1060.0	FBgn0003575|FBgn0020381	shared_fbgn	PASS
obscura_group	DMEL_CRE_00003	secondary_only	no	yes	dsub	consensus	present	present	mapped	NC_048530.1	13776378	13777147	dsub_PEAK_00121	769	1.000000	0.894186	yes	yes	dsub_PEAK_00121	FBgn0003575	0.0	FBgn0003575|FBgn0020381	shared_fbgn	PASS
obscura_group	DMEL_CRE_00003	secondary_only	no	yes	dobs	discordant	turnover_candidate	turnover_candidate	mapped	NW_024542773.1	1467524	1468257		0	0.000000	0.000000	no	yes	dobs_PEAK_00094	FBgn0003575	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00038	secondary_only	no	yes	dobs	consensus	turnover_candidate	turnover_candidate	mapped	NW_024542816.1	701165	701921		0	0.000000	0.000000	no	yes	dobs_PEAK_00057	FBgn0264386	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00038	secondary_only	no	yes	dsub	consensus	turnover_candidate	turnover_candidate	mapped	NC_048530.1	8110802	8111580		0	0.000000	0.000000	no	yes	dsub_PEAK_00267	FBgn0264386	0.0		no_peak_at_locus	PASS
obscura_group	DMEL_CRE_00038	secondary_only	no	yes	dbif	discordant	present	present	mapped	CM019041.1	1952913	1953625	dbif_PEAK_00347	467	0.655899	0.778333	yes	yes	dbif_PEAK_00057	FBgn0264386	0.0	FBgn0264386	shared_fbgn	PASS
obscura_group	DMEL_CRE_00042	secondary_only	no	yes	dobs	consensus	turnover_candidate	turnover_candidate	mapped	NW_024542890.1	618039	618628		0	0.000000	0.000000	no	yes	dobs_PEAK_00238	FBgn0029895	2075.0		no_peak_at_locus	PASS
