dmel_cre_id	chrom	start0	end0	peak_amplitude	scrmshaw_score	fbgn_target_genes	n_fbgn_target_genes	training_set	method	rank
DMEL_CRE_00026	NC_004354.4	4602200	4602820	68.3	10.4904	FBgn0052773|FBgn0003053	2	adult_muscle	imm	294
DMEL_CRE_00027	NC_004354.4	5047930	5048520	89.7	10.7017	FBgn0266096|FBgn0003028	2	adult_muscle	imm	252
DMEL_CRE_00028	NC_004354.4	5055260	5056010	228.0	16.3208	FBgn0266096	1	adult_muscle	imm	104
DMEL_CRE_00029	NC_004354.4	5165620	5166280	93.3	13.4535	FBgn0266098|FBgn0029747	2	adult_muscle	imm	245
DMEL_CRE_00030	NC_004354.4	5224630	5225590	689.6	20.5583	FBgn0266098|FBgn0266097	2	adult_muscle	imm	13
DMEL_CRE_00031	NC_004354.4	5231140	5231720	57.4	10.1921	FBgn0266098|FBgn0266097	2	adult_muscle	imm	328
DMEL_CRE_00032	NC_004354.4	5274380	5275060	276.9	18.0194	FBgn0266098|FBgn0261803	2	adult_muscle	imm	87
DMEL_CRE_00033	NC_004354.4	5284320	5284890	94.5	13.3241	FBgn0261803|FBgn0029750	2	adult_muscle	imm	243
DMEL_CRE_00034	NC_004354.4	5363820	5364580	155.6	11.8805	FBgn0029761|FBgn0010014	2	adult_muscle	imm	159
DMEL_CRE_00035	NC_004354.4	5389270	5389990	277.5	15.7136	FBgn0029761	1	adult_muscle	imm	86
DMEL_CRE_00036	NC_004354.4	5604340	5605030	248.1	15.7507	FBgn0263511|FBgn0085464	2	adult_muscle	imm	95
DMEL_CRE_00037	NC_004354.4	5886730	5887420	202.8	14.5267	FBgn0267228|FBgn0029820	2	adult_muscle	imm	123
DMEL_CRE_00038	NC_004354.4	6133360	6134170	385.8	17.6316	FBgn0264386	1	adult_muscle	imm	49
DMEL_CRE_00039	NC_004354.4	6451440	6452060	132.4	12.3062	FBgn0259242	1	adult_muscle	imm	189
DMEL_CRE_00040	NC_004354.4	6464280	6465010	283.0	14.696	FBgn0259242	1	adult_muscle	imm	80
DMEL_CRE_00041	NC_004354.4	6496190	6496780	127.9	16.0638	FBgn0259242|FBgn0053665	2	adult_muscle	imm	192
DMEL_CRE_00042	NC_004354.4	6708780	6709390	121.5	12.6743	FBgn0029895|FBgn0029894	2	adult_muscle	imm	203
DMEL_CRE_00043	NC_004354.4	6728920	6729540	163.6	15.3344	FBgn0029896|FBgn0263415	2	adult_muscle	imm	154
DMEL_CRE_00044	NC_004354.4	6857040	6857750	297.9	19.6738	FBgn0029915|FBgn0267087	2	adult_muscle	imm	77
DMEL_CRE_00045	NC_004354.4	7112540	7113230	59.6	10.5085	FBgn0027342|FBgn0029937	2	adult_muscle	imm	320
DMEL_CRE_00046	NC_004354.4	7118570	7119380	473.6	22.9402	FBgn0267088|FBgn0027342	2	adult_muscle	imm	33
DMEL_CRE_00047	NC_004354.4	7154140	7154930	342.4	16.5337	FBgn0029939|FBgn0047092	2	adult_muscle	imm	60
DMEL_CRE_00048	NC_004354.4	7293400	7293950	63.2	12.8898	FBgn0265457	1	adult_muscle	imm	302
DMEL_CRE_00049	NC_004354.4	7307290	7308230	491.7	17.913	FBgn0265457	1	adult_muscle	imm	28
DMEL_CRE_00050	NC_004354.4	7467490	7468150	118.4	10.6805	FBgn0265693|FBgn0262827	2	adult_muscle	imm	208
DMEL_CRE_00051	NC_004354.4	7515100	7515670	81.8	11.4357	FBgn0052719|FBgn0262612	2	adult_muscle	imm	266
DMEL_CRE_00052	NC_004354.4	7626840	7627730	525.3	18.9842	FBgn0004198|FBgn0029952	2	adult_muscle	imm	26
DMEL_CRE_00053	NC_004354.4	7631640	7632210	85.8	13.7359	FBgn0004198|FBgn0029952	2	adult_muscle	imm	258
DMEL_CRE_00054	NC_004354.4	7636710	7637270	79.3	12.8075	FBgn0004198|FBgn0267227	2	adult_muscle	imm	273
DMEL_CRE_00055	NC_004354.4	7696340	7696920	58.8	10.6476	FBgn0029504|FBgn0262979	2	adult_muscle	imm	324
DMEL_CRE_00056	NC_004354.4	8045140	8045720	57.3	9.86667	FBgn0004656|FBgn0029990	2	adult_muscle	imm	329
DMEL_CRE_00057	NC_004354.4	8060150	8060800	93.9	11.7247	FBgn0004656|FBgn0004657	2	adult_muscle	imm	244
DMEL_CRE_00058	NC_004354.4	8061800	8062380	80.8	10.475	FBgn0004657|FBgn0004656	2	adult_muscle	imm	267
DMEL_CRE_00059	NC_004354.4	8419690	8420380	269.6	15.9962	FBgn0261793|FBgn0262976	2	adult_muscle	imm	89
DMEL_CRE_00060	NC_004354.4	8533630	8534190	72.5	12.0942	FBgn0264975|FBgn0024943	2	adult_muscle	imm	286
DMEL_CRE_00061	NC_004354.4	8864080	8864760	111.6	12.9364	FBgn0030065|FBgn0011661	2	adult_muscle	imm	218
DMEL_CRE_00062	NC_004354.4	9042350	9043050	123.7	14.5271	FBgn0264384	1	adult_muscle	imm	198
DMEL_CRE_00063	NC_004354.4	9099020	9099660	151.5	12.2048	FBgn0030087|FBgn0004856	2	adult_muscle	imm	170
DMEL_CRE_00064	NC_004354.4	9428350	9429040	155.0	15.4617	FBgn0261260|FBgn0266050	2	adult_muscle	imm	160
DMEL_CRE_00065	NC_004354.4	9467700	9468580	444.7	14.703	FBgn0261260|FBgn0266050	2	adult_muscle	imm	41
DMEL_CRE_00066	NC_004354.4	9920850	9921560	216.1	17.0919	FBgn0026415|FBgn0086044	2	adult_muscle	imm	110
DMEL_CRE_00067	NC_004354.4	10581930	10582570	154.1	12.6635	FBgn0085443|FBgn0067052	2	adult_muscle	imm	164
DMEL_CRE_00068	NC_004354.4	10693370	10694000	172.7	15.8421	FBgn0052677|FBgn0052676	2	adult_muscle	imm	144
DMEL_CRE_00069	NC_004354.4	10708550	10709350	373.5	12.2923	FBgn0052677|FBgn0052676	2	adult_muscle	imm	52
DMEL_CRE_00070	NC_004354.4	10766660	10767430	147.2	12.3187	FBgn0052672|FBgn0030228	2	adult_muscle	imm	174
DMEL_CRE_00071	NC_004354.4	11062770	11063370	104.0	11.3178	FBgn0030260|FBgn0267174	2	adult_muscle	imm	227
DMEL_CRE_00072	NC_004354.4	11510170	11510770	136.9	14.5798	FBgn0052666|FBgn0265749	2	adult_muscle	imm	185
DMEL_CRE_00073	NC_004354.4	11695050	11695900	510.9	16.9132	FBgn0011754|FBgn0014133	2	adult_muscle	imm	27
DMEL_CRE_00074	NC_004354.4	11714020	11714820	298.4	10.9068	FBgn0030328|FBgn0267178	2	adult_muscle	imm	76
DMEL_CRE_00075	NC_004354.4	11980750	11981600	154.0	11.2169	FBgn0263111|FBgn0000808	2	adult_muscle	imm	165
DMEL_CRE_00076	NC_004354.4	12032050	12032680	171.3	13.8568	FBgn0030369|FBgn0030367	2	adult_muscle	imm	145
DMEL_CRE_00077	NC_004354.4	12173380	12174130	171.0	14.0475	FBgn0267001|FBgn0030377	2	adult_muscle	imm	146
DMEL_CRE_00078	NC_004354.4	12270630	12271270	72.1	11.434	FBgn0267001|FBgn0267163	2	adult_muscle	imm	287
DMEL_CRE_00079	NC_004354.4	12311850	12312520	206.0	14.9947	FBgn0267001|FBgn0267163	2	adult_muscle	imm	116
DMEL_CRE_00080	NC_004354.4	12347830	12348700	99.6	14.5023	FBgn0267001|FBgn0030384	2	adult_muscle	imm	230
DMEL_CRE_00081	NC_004354.4	12591580	12592190	77.4	10.3168	FBgn0283712|FBgn0030403	2	adult_muscle	imm	277
DMEL_CRE_00082	NC_004354.4	12649140	12650120	959.3	26.5391	FBgn0030412|FBgn0015024	2	adult_muscle	imm	8
DMEL_CRE_00083	NC_004354.4	12733500	12734080	79.6	10.5168	FBgn0265523|FBgn0264678	2	adult_muscle	imm	270
DMEL_CRE_00084	NC_004354.4	12741720	12742350	170.9	15.2272	FBgn0265523|FBgn0267183	2	adult_muscle	imm	147
DMEL_CRE_00085	NC_004354.4	12783960	12784610	82.4	11.3764	FBgn0052647|FBgn0259171	2	adult_muscle	imm	264
DMEL_CRE_00086	NC_004354.4	12811080	12811850	159.8	15.1189	FBgn0259171|FBgn0030425	2	adult_muscle	imm	157
DMEL_CRE_00087	NC_004354.4	12895260	12896020	268.9	13.4962	FBgn0259171|FBgn0052650	2	adult_muscle	imm	91
DMEL_CRE_00088	NC_004354.4	13300860	13301420	74.2	11.3473	FBgn0030467|FBgn0030468	2	adult_muscle	imm	283
DMEL_CRE_00089	NC_004354.4	13372000	13372780	184.6	13.5832	FBgn0030478|FBgn0030477	2	adult_muscle	imm	136
DMEL_CRE_00090	NC_004354.4	13383670	13384470	312.1	17.7385	FBgn0030479|FBgn0030480	2	adult_muscle	imm	70
DMEL_CRE_00091	NC_004354.4	13390370	13391240	287.8	15.431	FBgn0265831|FBgn0030481	2	adult_muscle	imm	79
DMEL_CRE_00092	NC_004354.4	13552030	13552720	95.0	11.6974	FBgn0030495|FBgn0052631	2	adult_muscle	imm	242
DMEL_CRE_00093	NC_004354.4	13601300	13602210	592.3	19.7028	FBgn0004169|FBgn0265865	2	adult_muscle	imm	19
DMEL_CRE_00094	NC_004354.4	13882250	13883190	373.3	13.0957	FBgn0267033|FBgn0052626	2	adult_muscle	imm	53
DMEL_CRE_00095	NC_004354.4	14096030	14096670	151.6	13.9049	FBgn0267962|FBgn0265868	2	adult_muscle	imm	169
DMEL_CRE_00096	NC_004354.4	14322490	14323090	70.3	11.1778	FBgn0052600|FBgn0052598	2	adult_muscle	imm	293
DMEL_CRE_00097	NC_004354.4	14377250	14377900	186.9	17.2263	FBgn0052600|FBgn0052601	2	adult_muscle	imm	135
DMEL_CRE_00098	NC_004354.4	14730670	14731270	70.6	10.8414	FBgn0015774|FBgn0266710	2	adult_muscle	imm	290
DMEL_CRE_00099	NC_004354.4	14765050	14765680	138.5	14.5547	FBgn0030576|FBgn0030577	2	adult_muscle	imm	182
DMEL_CRE_00100	NC_004354.4	14957350	14958110	376.6	17.5506	FBgn0000535|FBgn0030599	2	adult_muscle	imm	51
DMEL_CRE_00101	NC_004354.4	15234180	15234740	77.9	12.7923	FBgn0030622|FBgn0265612	2	adult_muscle	imm	276
DMEL_CRE_00102	NC_004354.4	15245650	15246250	60.3	11.16	FBgn0030623|FBgn0030622	2	adult_muscle	imm	315
DMEL_CRE_00103	NC_004354.4	15304290	15305000	328.6	19.5385	FBgn0261703|FBgn0265611	2	adult_muscle	imm	65
DMEL_CRE_00104	NC_004354.4	15431880	15432420	56.9	13.3696	FBgn0263257|FBgn0040285	2	adult_muscle	imm	331
DMEL_CRE_00105	NC_004354.4	15497560	15498280	149.3	13.1747	FBgn0027287	1	adult_muscle	imm	173
DMEL_CRE_00106	NC_004354.4	15618270	15619020	269.0	16.3249	FBgn0003463|FBgn0265596	2	adult_muscle	imm	90
DMEL_CRE_00107	NC_004354.4	15633040	15633780	210.0	12.7082	FBgn0003463|FBgn0265596	2	adult_muscle	imm	114
DMEL_CRE_00108	NC_004354.4	15834590	15835560	483.0	14.7054	FBgn0000319|FBgn0052582	2	adult_muscle	imm	29
DMEL_CRE_00109	NC_004354.4	15870760	15871410	116.7	13.5402	FBgn0030701|FBgn0001092	2	adult_muscle	imm	212
DMEL_CRE_00110	NC_004354.4	16067380	16068040	204.4	14.9521	FBgn0030723|FBgn0030724	2	adult_muscle	imm	120
DMEL_CRE_00111	NC_004354.4	16205810	16206610	182.6	15.8948	FBgn0000459|FBgn0267930	2	adult_muscle	imm	137
DMEL_CRE_00112	NC_004354.4	16332300	16332940	126.0	14.1797	FBgn0030743|FBgn0278608	2	adult_muscle	imm	194
DMEL_CRE_00113	NC_004354.4	16482710	16483310	98.1	10.6511	FBgn0285944|FBgn0262734	2	adult_muscle	imm	235
DMEL_CRE_00114	NC_004354.4	16491070	16491790	211.5	15.0948	FBgn0285944|FBgn0264077	2	adult_muscle	imm	113
DMEL_CRE_00115	NC_004354.4	16534230	16535100	153.2	14.6028	FBgn0285944|FBgn0030756	2	adult_muscle	imm	167
DMEL_CRE_00116	NC_004354.4	16763020	16763740	252.4	15.9142	FBgn0001250|FBgn0027528	2	adult_muscle	imm	94
DMEL_CRE_00117	NC_004354.4	17235720	17236330	70.4	11.4706	FBgn0262111|FBgn0030832	2	adult_muscle	imm	291
DMEL_CRE_00118	NC_004354.4	17651570	17652490	174.8	11.1795	FBgn0026375|FBgn0030858	2	adult_muscle	imm	141
DMEL_CRE_00119	NC_004354.4	17826790	17827610	216.8	12.8512	FBgn0030869|FBgn0265902	2	adult_muscle	imm	109
DMEL_CRE_00120	NC_004354.4	18008140	18009060	564.9	20.6943	FBgn0003380|FBgn0030886	2	adult_muscle	imm	21
DMEL_CRE_00121	NC_004354.4	18014510	18015060	59.1	10.6092	FBgn0003380|FBgn0030886	2	adult_muscle	imm	323
DMEL_CRE_00122	NC_004354.4	18115660	18116890	2151.9	49.3088	FBgn0283471|FBgn0267165	2	adult_muscle	imm	2
DMEL_CRE_00123	NC_004354.4	18315640	18316300	91.1	10.8564	FBgn0030912|FBgn0267169	2	adult_muscle	imm	250
DMEL_CRE_00124	NC_004354.4	18374290	18375180	366.4	15.9598	FBgn0265784|FBgn0004957	2	adult_muscle	imm	54
DMEL_CRE_00125	NC_004354.4	18814040	18814700	204.2	17.8462	FBgn0259927|FBgn0030961	2	adult_muscle	imm	121
DMEL_CRE_00126	NC_004354.4	18906230	18907040	341.0	16.3273	FBgn0030976|FBgn0265919	2	adult_muscle	imm	61
DMEL_CRE_00127	NC_004354.4	19260060	19260700	98.1	13.9386	FBgn0031006|FBgn0040068	2	adult_muscle	imm	234
DMEL_CRE_00128	NC_004354.4	19353670	19354250	74.5	12.3143	FBgn0031016|FBgn0086778	2	adult_muscle	imm	281
DMEL_CRE_00129	NC_004354.4	19697270	19697830	63.4	12.2403	FBgn0010341|FBgn0031059	2	adult_muscle	imm	300
DMEL_CRE_00130	NC_004354.4	19719660	19720440	246.9	19.2431	FBgn0031064|FBgn0266183	2	adult_muscle	imm	96
DMEL_CRE_00131	NC_004354.4	19775390	19776150	282.3	13.5162	FBgn0259789|FBgn0031070	2	adult_muscle	imm	81
DMEL_CRE_00132	NC_004354.4	19866600	19867170	91.4	13.2473	FBgn0052529|FBgn0031077	2	adult_muscle	imm	247
DMEL_CRE_00133	NC_004354.4	20284530	20285090	79.4	12.2813	FBgn0267060|FBgn0267061	2	adult_muscle	imm	271
DMEL_CRE_00134	NC_004354.4	20837510	20838060	59.6	10.9796	FBgn0085387|FBgn0031132	2	adult_muscle	imm	321
DMEL_CRE_00135	NC_004354.4	20863390	20864120	68.3	10.2345	FBgn0085387|FBgn0262822	2	adult_muscle	imm	295
DMEL_CRE_00136	NC_004354.4	21575410	21576280	60.1	10.7825	FBgn0265922|FBgn0027588	2	adult_muscle	imm	316
DMEL_CRE_00137	NT_033777.3	4973620	4974280	176.3	16.3586	FBgn0037290|FBgn0037291	2	adult_muscle	imm	139
DMEL_CRE_00138	NT_033777.3	7281970	7282730	154.2	12.4809	FBgn0267337|FBgn0265421	2	adult_muscle	imm	163
DMEL_CRE_00139	NT_033777.3	7284560	7285190	143.9	11.7367	FBgn0267337|FBgn0265421	2	adult_muscle	imm	180
DMEL_CRE_00140	NT_033777.3	9236210	9236860	203.2	14.8617	FBgn0003165|FBgn0000412	2	adult_muscle	imm	122
DMEL_CRE_00141	NT_033777.3	9419070	9419730	166.4	13.1774	FBgn0261552|FBgn0011740	2	adult_muscle	imm	149
DMEL_CRE_00142	NT_033777.3	9874540	9875080	55.2	12.6872	FBgn0267336|FBgn0266389	2	adult_muscle	imm	334
DMEL_CRE_00143	NT_033777.3	10499710	10500290	71.5	12.0337	FBgn0001235|FBgn0267136	2	adult_muscle	imm	289
DMEL_CRE_00144	NT_033777.3	11332460	11333090	146.5	12.2358	FBgn0004595|FBgn0267672	2	adult_muscle	imm	176
DMEL_CRE_00145	NT_033777.3	11389230	11390110	634.9	27.5856	FBgn0004595|FBgn0037892	2	adult_muscle	imm	16
DMEL_CRE_00146	NT_033777.3	13011860	13012690	464.8	20.5434	FBgn0020496|FBgn0038110	2	adult_muscle	imm	37
DMEL_CRE_00147	NT_033777.3	13063920	13064550	164.6	16.7213	FBgn0004666|FBgn0260962	2	adult_muscle	imm	152
DMEL_CRE_00148	NT_033777.3	13067640	13068480	334.1	16.0738	FBgn0004666|FBgn0260962	2	adult_muscle	imm	63
DMEL_CRE_00149	NT_033777.3	13796740	13797300	60.8	11.5138	FBgn0267150|FBgn0000454	2	adult_muscle	imm	312
DMEL_CRE_00150	NT_033777.3	14458180	14458740	59.8	10.8167	FBgn0285955|FBgn0265065	2	adult_muscle	imm	318
DMEL_CRE_00151	NT_033777.3	14713720	14714560	220.8	13.1775	FBgn0262127|FBgn0038256	2	adult_muscle	imm	107
DMEL_CRE_00152	NT_033777.3	14715810	14716660	78.8	10.7887	FBgn0262127|FBgn0038256	2	adult_muscle	imm	274
DMEL_CRE_00153	NT_033777.3	14718890	14719620	241.1	17.4636	FBgn0262127|FBgn0038256	2	adult_muscle	imm	98
DMEL_CRE_00154	NT_033777.3	15375510	15376210	125.4	11.9077	FBgn0262483|FBgn0038331	2	adult_muscle	imm	195
DMEL_CRE_00155	NT_033777.3	15438700	15439490	534.5	23.0484	FBgn0000047|FBgn0286071	2	adult_muscle	imm	24
DMEL_CRE_00156	NT_033777.3	15987230	15987790	85.7	14.7572	FBgn0264982	1	adult_muscle	imm	260
DMEL_CRE_00157	NT_033777.3	16702610	16703310	190.7	16.9527	FBgn0003944|FBgn0020556	2	adult_muscle	imm	134
DMEL_CRE_00158	NT_033777.3	17897910	17898730	201.5	13.9126	FBgn0053547|FBgn0038558	2	adult_muscle	imm	125
DMEL_CRE_00159	NT_033777.3	18004360	18005020	153.4	14.6442	NA	0	adult_muscle	imm	166
DMEL_CRE_00160	NT_033777.3	18104640	18105240	104.7	11.6633	FBgn0003499|FBgn0038566	2	adult_muscle	imm	225
DMEL_CRE_00161	NT_033777.3	18107310	18108020	281.3	21.0152	FBgn0003499|FBgn0038566	2	adult_muscle	imm	82
DMEL_CRE_00162	NT_033777.3	18121760	18122320	79.3	12.8664	FBgn0003499|FBgn0038567	2	adult_muscle	imm	272
DMEL_CRE_00163	NT_033777.3	18261160	18261790	144.1	14.0458	FBgn0266195|FBgn0263738	2	adult_muscle	imm	179
DMEL_CRE_00164	NT_033777.3	18442850	18443480	167.3	13.6572	FBgn0004652|FBgn0051122	2	adult_muscle	imm	148
DMEL_CRE_00165	NT_033777.3	18931490	18932050	82.1	13.2364	FBgn0261262|FBgn0038662	2	adult_muscle	imm	265
DMEL_CRE_00166	NT_033777.3	20079160	20079870	289.8	17.1901	FBgn0003249|FBgn0038771	2	adult_muscle	imm	78
DMEL_CRE_00167	NT_033777.3	20263710	20264300	60.0	10.4428	FBgn0262582|FBgn0083975	2	adult_muscle	imm	317
DMEL_CRE_00168	NT_033777.3	20475830	20476410	122.2	15.886	FBgn0262869|FBgn0265550	2	adult_muscle	imm	201
DMEL_CRE_00169	NT_033777.3	20783250	20784350	732.6	21.4785	FBgn0038826|FBgn0046689	2	adult_muscle	imm	9
DMEL_CRE_00170	NT_033777.3	20953530	20954080	74.4	13.6943	FBgn0002921|FBgn0051191	2	adult_muscle	imm	282
DMEL_CRE_00171	NT_033777.3	21561170	21561760	117.4	13.5399	FBgn0002941|FBgn0038892	2	adult_muscle	imm	211
DMEL_CRE_00172	NT_033777.3	21700640	21701230	109.4	12.7461	FBgn0051176|FBgn0264905	2	adult_muscle	imm	220
DMEL_CRE_00173	NT_033777.3	21858900	21859510	138.4	14.266	FBgn0267204|FBgn0267205	2	adult_muscle	imm	183
DMEL_CRE_00174	NT_033777.3	21949090	21950000	468.1	15.3305	FBgn0264490|FBgn0038919	2	adult_muscle	imm	35
DMEL_CRE_00175	NT_033777.3	21958030	21958700	89.9	11.1238	FBgn0264490|FBgn0038919	2	adult_muscle	imm	251
DMEL_CRE_00176	NT_033777.3	22047130	22047790	163.8	13.3193	FBgn0264491|FBgn0266581	2	adult_muscle	imm	153
DMEL_CRE_00177	NT_033777.3	22590340	22591020	83.4	12.3078	FBgn0051158|FBgn0014949	2	adult_muscle	imm	263
DMEL_CRE_00178	NT_033777.3	23333170	23333740	96.7	15.2433	FBgn0003118|FBgn0267759	2	adult_muscle	imm	236
DMEL_CRE_00179	NT_033777.3	23980300	23980860	59.6	11.0423	FBgn0051140|FBgn0283548	2	adult_muscle	imm	319
DMEL_CRE_00180	NT_033777.3	24260160	24260750	114.0	12.6874	FBgn0011225|FBgn0039175	2	adult_muscle	imm	215
DMEL_CRE_00181	NT_033777.3	24976330	24976880	63.9	11.6347	FBgn0039257|FBgn0285912	2	adult_muscle	imm	299
DMEL_CRE_00182	NT_033777.3	25156750	25157480	163.0	13.1007	FBgn0287605|FBgn0083946	2	adult_muscle	imm	155
DMEL_CRE_00183	NT_033777.3	25394030	25394640	133.4	12.9405	FBgn0004509|FBgn0051439	2	adult_muscle	imm	187
DMEL_CRE_00184	NT_033777.3	27580670	27581320	96.2	12.2392	FBgn0027492|FBgn0040080	2	adult_muscle	imm	237
DMEL_CRE_00185	NT_033777.3	27911250	27911900	109.0	13.9539	FBgn0267366|FBgn0039554	2	adult_muscle	imm	222
DMEL_CRE_00186	NT_033777.3	28551870	28552630	301.5	15.4527	FBgn0039588|FBgn0003137	2	adult_muscle	imm	73
DMEL_CRE_00187	NT_033777.3	29014170	29014770	133.4	14.4447	FBgn0039620|FBgn0263579	2	adult_muscle	imm	188
DMEL_CRE_00188	NT_033777.3	29039020	29039870	173.5	11.9547	FBgn0003093|FBgn0039626	2	adult_muscle	imm	143
DMEL_CRE_00189	NT_033777.3	29384550	29385290	196.2	13.5462	FBgn0004369|FBgn0267106	2	adult_muscle	imm	131
DMEL_CRE_00190	NT_033777.3	30339350	30340030	235.7	13.8932	FBgn0010113|FBgn0267783	2	adult_muscle	imm	99
DMEL_CRE_00191	NT_033777.3	30667620	30668180	76.5	12.3444	FBgn0266701|FBgn0085462	2	adult_muscle	imm	279
DMEL_CRE_00192	NT_033778.4	2857540	2858120	58.6	10.7347	FBgn0287612|FBgn0085638	2	adult_muscle	imm	326
DMEL_CRE_00193	NT_033778.4	6145350	6146170	165.5	11.6265	FBgn0000546|FBgn0033063	2	adult_muscle	imm	151
DMEL_CRE_00194	NT_033778.4	6749320	6749940	155.0	14.5735	FBgn0027066|FBgn0042083	2	adult_muscle	imm	161
DMEL_CRE_00195	NT_033778.4	8065490	8066340	298.6	12.2902	FBgn0033252|FBgn0040778	2	adult_muscle	imm	75
DMEL_CRE_00196	NT_033778.4	9230680	9231260	109.2	15.2421	FBgn0010114|FBgn0033395	2	adult_muscle	imm	221
DMEL_CRE_00197	NT_033778.4	9521110	9522010	112.1	11.4203	FBgn0259246|FBgn0004360	2	adult_muscle	imm	216
DMEL_CRE_00198	NT_033778.4	10515320	10516190	117.8	11.4037	FBgn0283521|FBgn0263466	2	adult_muscle	imm	209
DMEL_CRE_00199	NT_033778.4	10568580	10569320	99.4	10.9627	FBgn0263102|FBgn0283426	2	adult_muscle	imm	232
DMEL_CRE_00200	NT_033778.4	10583030	10583990	452.7	17.527	FBgn0263102|FBgn0033538	2	adult_muscle	imm	40
DMEL_CRE_00201	NT_033778.4	11098300	11099020	223.7	13.2196	FBgn0040765|FBgn0262817	2	adult_muscle	imm	105
DMEL_CRE_00202	NT_033778.4	11203300	11204150	352.1	14.937	FBgn0003396|FBgn0033582	2	adult_muscle	imm	58
DMEL_CRE_00203	NT_033778.4	11366440	11367050	142.6	12.8118	FBgn0033627|FBgn0041241	2	adult_muscle	imm	181
DMEL_CRE_00204	NT_033778.4	11954410	11954970	72.6	10.9812	FBgn0033668|FBgn0033669	2	adult_muscle	imm	285
DMEL_CRE_00205	NT_033778.4	12894840	12896280	2559.0	60.2575	FBgn0003975|FBgn0267957	2	adult_muscle	imm	1
DMEL_CRE_00206	NT_033778.4	13342560	13343100	55.2	12.5444	FBgn0265104|FBgn0033828	2	adult_muscle	imm	335
DMEL_CRE_00207	NT_033778.4	13627900	13628710	442.8	20.3575	FBgn0000633|FBgn0033861	2	adult_muscle	imm	42
DMEL_CRE_00208	NT_033778.4	13663910	13664520	96.1	12.1251	FBgn0000633|FBgn0033862	2	adult_muscle	imm	238
DMEL_CRE_00209	NT_033778.4	14050870	14051420	62.7	11.1017	FBgn0002643|FBgn0040752	2	adult_muscle	imm	306
