dmel_cre_id	candidate_priority	downstream_priority	n_total_tier1_clades	n_focal_tier1_clades	n_secondary_only_clades	tier1_clades	fbgn_target_genes	n_reference_target_genes	primary_candidate_fbgn	primary_candidate_distance_bp	primary_candidate_relation	primary_candidate_source	primary_in_reference_targets	secondary_candidate_fbgn	secondary_candidate_distance_bp	secondary_candidate_relation	secondary_candidate_source	secondary_in_reference_targets	primary_secondary_distance_tie	dmel_fbgn_flanking_gene	distance_flanking_gene	dmel_fbgn_next_flanking_gene	distance_next_gene	gene_distance_qc	gene_assignment_qc
DMEL_CRE_00064	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0261260|FBgn0266050	2	FBgn0261260	0.0	overlapping	flanking_gene	yes	FBgn0266050	17465.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0261260	0	FBgn0266050	17465	PASS	PASS
DMEL_CRE_00072	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0052666|FBgn0265749	2	FBgn0052666	0.0	overlapping	flanking_gene	yes	FBgn0265749	17272.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0052666	0	FBgn0265749	17272	PASS	PASS
DMEL_CRE_00082	secondary_single	exploratory	1	0	1	rufa_group	FBgn0030412|FBgn0015024	2	FBgn0030412	0.0	overlapping	flanking_gene	yes	FBgn0015024	4486.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0030412	0	FBgn0015024	4486	PASS	PASS
DMEL_CRE_00083	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0265523|FBgn0264678	2	FBgn0265523	0.0	overlapping	flanking_gene	yes	FBgn0264678	2627.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0265523	0	FBgn0264678	2627	PASS	PASS
DMEL_CRE_00115	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0285944|FBgn0030756	2	FBgn0285944	1504.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0030756	4923.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0285944	1504	FBgn0030756	4923	PASS	PASS
DMEL_CRE_00120	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003380|FBgn0030886	2	FBgn0003380	0.0	overlapping	flanking_gene	yes	FBgn0030886	954.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0003380	0	FBgn0030886	954	PASS	PASS
DMEL_CRE_00153	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0262127|FBgn0038256	2	FBgn0262127	0.0	overlapping	flanking_gene	yes	FBgn0038256	5870.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0262127	0	FBgn0038256	5870	PASS	PASS
DMEL_CRE_00164	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0004652|FBgn0051122	2	FBgn0004652	0.0	overlapping	flanking_gene	yes	FBgn0051122	30106.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0004652	0	FBgn0051122	30106	PASS	PASS
DMEL_CRE_00175	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264490|FBgn0038919	2	FBgn0264490	0.0	overlapping	flanking_gene	yes	FBgn0038919	42654.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0264490	0	FBgn0038919	42654	PASS	PASS
DMEL_CRE_00178	secondary_single	exploratory	1	0	1	rufa_group	FBgn0003118|FBgn0267759	2	FBgn0003118	0.0	overlapping	flanking_gene	yes	FBgn0267759	334.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0003118	0	FBgn0267759	334	PASS	PASS
DMEL_CRE_00186	secondary_single	exploratory	1	0	1	immigrans_group	FBgn0039588|FBgn0003137	2	FBgn0039588	7313.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0003137	11806.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0039588	7313	FBgn0003137	11806	PASS	PASS
DMEL_CRE_00203	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0033627|FBgn0041241	2	FBgn0033627	270.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0041241	3145.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0033627	270	FBgn0041241	3145	PASS	PASS
DMEL_CRE_00255	secondary_single	exploratory	1	0	1	repleta_group	FBgn0041092|FBgn0032101	2	FBgn0041092	0.0	overlapping	flanking_gene	yes	FBgn0032101	23626.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0041092	0	FBgn0032101	23626	PASS	PASS
DMEL_CRE_00277	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264695|FBgn0032602	2	FBgn0264695	1626.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0032602	4926.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0264695	1626	FBgn0032602	4926	PASS	PASS
DMEL_CRE_00321	secondary_single	exploratory	1	0	1	rufa_group	FBgn0041094|FBgn0265928	2	FBgn0041094	4308.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0265928	9479.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0041094	4308	FBgn0265928	9479	PASS	PASS
