dmel_cre_id	candidate_priority	priority_rank	n_total_tier1_clades	tier1_clades	n_focal_tier1_clades	focal_tier1_clades	n_secondary_only_clades	secondary_only_clades	has_focal_support	has_secondary_support	discordant_species	focal_discordant_species	secondary_discordant_species	discordant_states	consensus_states	tier1_state_directions	fbgn_target_genes	n_fbgn_target_genes	chrom	start0	end0	peak_amplitude	scrmshaw_score	rank	training_set	method	percent_candidate_retained	robust_candidate_all_9	robustness_class	percent_same_priority_as_primary	robust_priority_all_9	priority_stability	lost_in_scenarios	changed_priority_in_scenarios
DMEL_CRE_00275	secondary_recurrent	3	2	azteca_affinis_miranda_group|repleta_group	0		2	azteca_affinis_miranda_group|repleta_group	no	yes	d_buzzatii|dper		d_buzzatii|dper	present|turnover_candidate	present|turnover_candidate	present->turnover_candidate|turnover_candidate->present	FBgn0032602|FBgn0032601	2	NT_033779.5	16760700	16762600	1503.8	48.5812	5	adult_muscle	imm	100.0	yes	robust	33.33333333333333	no	variable		ov025_dist12000:secondary_single|ov025_dist24000:secondary_single|ov025_dist48000:secondary_single|ov075_dist12000:focal_single|ov075_dist24000:focal_single|ov075_dist48000:focal_single
DMEL_CRE_00030	focal_single	4	1	teissieri_group	1	teissieri_group	0		yes	no	dtei	dtei		turnover_candidate	present	turnover_candidate->present	FBgn0266098|FBgn0266097	2	NC_004354.4	5224630	5225590	689.6	20.5583	13	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00077	focal_single	4	1	immigrans_group	1	immigrans_group	0		yes	no	dimm	dimm		present	turnover_candidate	present->turnover_candidate	FBgn0267001|FBgn0030377	2	NC_004354.4	12173380	12174130	171.0	14.0475	146	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:focal_plus_secondary_recurrent|ov075_dist24000:focal_plus_secondary_recurrent|ov075_dist48000:focal_plus_secondary_recurrent
DMEL_CRE_00093	focal_single	4	1	obscura_group	1	obscura_group	0		yes	no	dsub	dsub		present	turnover_candidate	present->turnover_candidate	FBgn0004169|FBgn0265865	2	NC_004354.4	13601300	13602210	592.3	19.7028	19	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00106	focal_single	4	1	teissieri_group	1	teissieri_group	0		yes	no	dtei	dtei		present	turnover_candidate	present->turnover_candidate	FBgn0003463|FBgn0265596	2	NC_004354.4	15618270	15619020	269.0	16.3249	90	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00276	focal_single	4	1	obscura_group	1	obscura_group	0		yes	no	dsub	dsub		turnover_candidate	present	turnover_candidate->present	FBgn0264695|FBgn0032602	2	NT_033779.5	16763230	16764290	1812.0	54.3491	3	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00017	focal_single	4	1	teissieri_group	1	teissieri_group	0		yes	no	dtei	dtei		present	turnover_candidate	present->turnover_candidate	FBgn0015286|FBgn0283657	2	NC_004354.4	3718610	3719160	62.9	11.0178	305	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00121	focal_single	4	1	obscura_group	1	obscura_group	0		yes	no	dsub	dsub		turnover_candidate	present	turnover_candidate->present	FBgn0003380|FBgn0030886	2	NC_004354.4	18014510	18015060	59.1	10.6092	323	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00122	focal_single	4	1	obscura_group	1	obscura_group	0		yes	no	dsub	dsub		turnover_candidate	present	turnover_candidate->present	FBgn0283471|FBgn0267165	2	NC_004354.4	18115660	18116890	2151.9	49.3088	2	adult_muscle	imm	66.66666666666666	no	moderate	33.33333333333333	no	variable	ov025_dist12000|ov025_dist24000|ov025_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00306	focal_single	4	1	repleta_group	1	repleta_group	0		yes	no	d_repleta	d_repleta		turnover_candidate	present	turnover_candidate->present	FBgn0035719|FBgn0266961	2	NT_037436.4	6943140	6943860	278.1	15.8506	85	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00154	focal_single	4	1	rufa_group	1	rufa_group	0		yes	no	druf	druf		turnover_candidate	present	turnover_candidate->present	FBgn0262483|FBgn0038331	2	NT_033777.3	15375510	15376210	125.4	11.9077	195	adult_muscle	imm	33.33333333333333	no	sensitive	33.33333333333333	no	variable	ov025_dist12000|ov025_dist24000|ov025_dist48000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00003	secondary_single	5	1	obscura_group	0		1	obscura_group	no	yes	dobs		dobs	turnover_candidate	present	turnover_candidate->present	FBgn0003575|FBgn0020381	2	NC_004354.4	635880	636710	74.5	11.6277	280	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00004	secondary_single	5	1	rufa_group	0		1	rufa_group	no	yes	dbun		dbun	present	turnover_candidate	present->turnover_candidate	FBgn0025390	1	NC_004354.4	1640140	1640770	135.3	14.236	186	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00019	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	dsuz		dsuz	present	turnover_candidate	present->turnover_candidate	FBgn0283657|FBgn0263532	2	NC_004354.4	3749780	3750550	80.2	11.2697	268	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00021	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	d_lutescens		d_lutescens	present	turnover_candidate	present->turnover_candidate	FBgn0283657|FBgn0263532	2	NC_004354.4	3768220	3768810	54.7	12.5103	337	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00029	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	dsuz		dsuz	turnover_candidate	present	turnover_candidate->present	FBgn0266098|FBgn0029747	2	NC_004354.4	5165620	5166280	93.3	13.4535	245	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00042	secondary_single	5	1	obscura_group	0		1	obscura_group	no	yes	dbif		dbif	present	turnover_candidate	present->turnover_candidate	FBgn0029895|FBgn0029894	2	NC_004354.4	6708780	6709390	121.5	12.6743	203	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00064	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	d_simulans		d_simulans	present	turnover_candidate	present->turnover_candidate	FBgn0261260|FBgn0266050	2	NC_004354.4	9428350	9429040	155.0	15.4617	160	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00083	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	d_simulans		d_simulans	present	turnover_candidate	present->turnover_candidate	FBgn0265523|FBgn0264678	2	NC_004354.4	12733500	12734080	79.6	10.5168	270	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00120	secondary_single	5	1	obscura_group	0		1	obscura_group	no	yes	dobs		dobs	present	turnover_candidate	present->turnover_candidate	FBgn0003380|FBgn0030886	2	NC_004354.4	18008140	18009060	564.9	20.6943	21	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00178	secondary_single	5	1	rufa_group	0		1	rufa_group	no	yes	dbun		dbun	present	turnover_candidate	present->turnover_candidate	FBgn0003118|FBgn0267759	2	NT_033777.3	23333170	23333740	96.7	15.2433	236	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00321	secondary_single	5	1	rufa_group	0		1	rufa_group	no	yes	dbir		dbir	present	turnover_candidate	present->turnover_candidate	FBgn0041094|FBgn0265928	2	NT_037436.4	11260400	11260980	98.9	12.1373	233	adult_muscle	imm	100.0	yes	robust	33.33333333333333	no	variable		ov025_dist12000:secondary_recurrent|ov025_dist24000:secondary_recurrent|ov025_dist48000:secondary_recurrent|ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00255	secondary_single	5	1	repleta_group	0		1	repleta_group	no	yes	d_arizonae		d_arizonae	present	turnover_candidate	present->turnover_candidate	FBgn0041092|FBgn0032101	2	NT_033779.5	9190020	9190640	76.7	12.0968	278	adult_muscle	imm	77.77777777777779	no	moderate	44.44444444444444	no	variable	ov025_dist12000|ov050_dist12000	ov025_dist12000:not_tier1_candidate|ov050_dist12000:not_tier1_candidate|ov075_dist12000:focal_plus_secondary_recurrent|ov075_dist24000:focal_plus_secondary_recurrent|ov075_dist48000:focal_plus_secondary_recurrent
DMEL_CRE_00038	secondary_single	5	1	obscura_group	0		1	obscura_group	no	yes	dbif		dbif	present	turnover_candidate	present->turnover_candidate	FBgn0264386	1	NC_004354.4	6133360	6134170	385.8	17.6316	49	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00072	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	d_simulans		d_simulans	turnover_candidate	present	turnover_candidate->present	FBgn0052666|FBgn0265749	2	NC_004354.4	11510170	11510770	136.9	14.5798	185	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00082	secondary_single	5	1	rufa_group	0		1	rufa_group	no	yes	dbir		dbir	present	turnover_candidate	present->turnover_candidate	FBgn0030412|FBgn0015024	2	NC_004354.4	12649140	12650120	959.3	26.5391	8	adult_muscle	imm	66.66666666666666	no	moderate	33.33333333333333	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:secondary_recurrent|ov025_dist24000:secondary_recurrent|ov025_dist48000:secondary_recurrent|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00115	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	dsuz		dsuz	turnover_candidate	present	turnover_candidate->present	FBgn0285944|FBgn0030756	2	NC_004354.4	16534230	16535100	153.2	14.6028	167	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00153	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	dsuz		dsuz	turnover_candidate	present	turnover_candidate->present	FBgn0262127|FBgn0038256	2	NT_033777.3	14718890	14719620	241.1	17.4636	98	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00164	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	d_lutescens		d_lutescens	present	turnover_candidate	present->turnover_candidate	FBgn0004652|FBgn0051122	2	NT_033777.3	18442850	18443480	167.3	13.6572	148	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov025_dist12000|ov050_dist12000|ov075_dist12000	ov025_dist12000:not_tier1_candidate|ov050_dist12000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate
DMEL_CRE_00203	secondary_single	5	1	teissieri_group	0		1	teissieri_group	no	yes	d_lutescens		d_lutescens	turnover_candidate	present	turnover_candidate->present	FBgn0033627|FBgn0041241	2	NT_033778.4	11366440	11367050	142.6	12.8118	181	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00175	secondary_single	5	1	obscura_group	0		1	obscura_group	no	yes	dbif		dbif	present	turnover_candidate	present->turnover_candidate	FBgn0264490|FBgn0038919	2	NT_033777.3	21958030	21958700	89.9	11.1238	251	adult_muscle	imm	44.44444444444444	no	sensitive	44.44444444444444	no	variable	ov025_dist12000|ov050_dist12000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov050_dist12000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00186	secondary_single	5	1	immigrans_group	0		1	immigrans_group	no	yes	dfor		dfor	turnover_candidate	present	turnover_candidate->present	FBgn0039588|FBgn0003137	2	NT_033777.3	28551870	28552630	301.5	15.4527	73	adult_muscle	imm	33.33333333333333	no	sensitive	33.33333333333333	no	variable	ov025_dist12000|ov025_dist24000|ov025_dist48000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00277	secondary_single	5	1	obscura_group	0		1	obscura_group	no	yes	dbif		dbif	turnover_candidate	present	turnover_candidate->present	FBgn0264695|FBgn0032602	2	NT_033779.5	16764940	16765980	1090.1	28.6842	7	adult_muscle	imm	33.33333333333333	no	sensitive	33.33333333333333	no	variable	ov025_dist12000|ov025_dist24000|ov025_dist48000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
