dmel_cre_id	fbgn	gene_role	assignment_evidence	is_reference_target	is_primary_candidate	is_secondary_candidate	candidate_gene_distance_bp	candidate_gene_relation	candidate_priority	downstream_priority	n_total_tier1_clades	n_focal_tier1_clades	n_secondary_only_clades	tier1_clades	fbgn_target_genes	primary_candidate_fbgn	secondary_candidate_fbgn	gene_assignment_qc
DMEL_CRE_00309	FBgn0016694	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_recurrent	high	2	2	0	azteca_affinis_miranda_group|obscura_group	FBgn0016694|FBgn0052365	FBgn0016694	FBgn0052365	PASS
DMEL_CRE_00309	FBgn0052365	secondary_candidate	secondary_and_reference_target	yes	no	yes	13852.0	nearest_nonoverlapping	focal_recurrent	high	2	2	0	azteca_affinis_miranda_group|obscura_group	FBgn0016694|FBgn0052365	FBgn0016694	FBgn0052365	PASS
DMEL_CRE_00310	FBgn0003149	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|repleta_group	FBgn0003149|FBgn0040828	FBgn0003149	FBgn0040828	PASS
DMEL_CRE_00310	FBgn0040828	secondary_candidate	secondary_and_reference_target	yes	no	yes	4769.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|repleta_group	FBgn0003149|FBgn0040828	FBgn0003149	FBgn0040828	PASS
DMEL_CRE_00330	FBgn0000567	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	3	1	2	azteca_affinis_miranda_group|rufa_group|teissieri_group	FBgn0000567|FBgn0086080	FBgn0000567	FBgn0086080	PASS
DMEL_CRE_00330	FBgn0086080	secondary_candidate	secondary_and_reference_target	yes	no	yes	24478.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	3	1	2	azteca_affinis_miranda_group|rufa_group|teissieri_group	FBgn0000567|FBgn0086080	FBgn0000567	FBgn0086080	PASS
DMEL_CRE_00331	FBgn0000567	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	4	1	3	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	FBgn0000567|FBgn0036740	FBgn0000567	FBgn0036740	PASS
DMEL_CRE_00331	FBgn0036740	secondary_candidate	secondary_and_reference_target	yes	no	yes	13523.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	4	1	3	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	FBgn0000567|FBgn0036740	FBgn0000567	FBgn0036740	PASS
DMEL_CRE_00017	FBgn0015286	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	teissieri_group	FBgn0015286|FBgn0283657	FBgn0015286	FBgn0283657	PASS
DMEL_CRE_00017	FBgn0283657	secondary_candidate	secondary_and_reference_target	yes	no	yes	1397.0	nearest_nonoverlapping	focal_single	medium	1	1	0	teissieri_group	FBgn0015286|FBgn0283657	FBgn0015286	FBgn0283657	PASS
DMEL_CRE_00030	FBgn0266098	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	teissieri_group	FBgn0266098|FBgn0266097	FBgn0266098	FBgn0266097	PASS
DMEL_CRE_00030	FBgn0266097	secondary_candidate	secondary_and_reference_target	yes	no	yes	36293.0	nearest_nonoverlapping	focal_single	medium	1	1	0	teissieri_group	FBgn0266098|FBgn0266097	FBgn0266098	FBgn0266097	PASS
DMEL_CRE_00077	FBgn0267001	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	immigrans_group	FBgn0267001|FBgn0030377	FBgn0267001	FBgn0030377	PASS
DMEL_CRE_00077	FBgn0030377	secondary_candidate	secondary_and_reference_target	yes	no	yes	3060.0	nearest_nonoverlapping	focal_single	medium	1	1	0	immigrans_group	FBgn0267001|FBgn0030377	FBgn0267001	FBgn0030377	PASS
DMEL_CRE_00078	FBgn0267001	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|teissieri_group	FBgn0267001|FBgn0267163	FBgn0267001	FBgn0267163	PASS
DMEL_CRE_00078	FBgn0267163	secondary_candidate	secondary_and_reference_target	yes	no	yes	4005.0	nearest_nonoverlapping	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|teissieri_group	FBgn0267001|FBgn0267163	FBgn0267001	FBgn0267163	PASS
DMEL_CRE_00093	FBgn0004169	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	obscura_group	FBgn0004169|FBgn0265865	FBgn0004169	FBgn0265865	PASS
DMEL_CRE_00093	FBgn0265865	secondary_candidate	secondary_and_reference_target	yes	no	yes	3059.0	nearest_nonoverlapping	focal_single	medium	1	1	0	obscura_group	FBgn0004169|FBgn0265865	FBgn0004169	FBgn0265865	PASS
DMEL_CRE_00106	FBgn0003463	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	teissieri_group	FBgn0003463|FBgn0265596	FBgn0003463	FBgn0265596	PASS
DMEL_CRE_00106	FBgn0265596	secondary_candidate	secondary_and_reference_target	yes	no	yes	18038.0	nearest_nonoverlapping	focal_single	medium	1	1	0	teissieri_group	FBgn0003463|FBgn0265596	FBgn0003463	FBgn0265596	PASS
DMEL_CRE_00121	FBgn0003380	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	obscura_group	FBgn0003380|FBgn0030886	FBgn0003380	FBgn0030886	PASS
DMEL_CRE_00121	FBgn0030886	secondary_candidate	secondary_and_reference_target	yes	no	yes	6954.0	nearest_nonoverlapping	focal_single	medium	1	1	0	obscura_group	FBgn0003380|FBgn0030886	FBgn0003380	FBgn0030886	PASS
DMEL_CRE_00122	FBgn0283471	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	obscura_group	FBgn0283471|FBgn0267165	FBgn0283471	FBgn0267165	PASS
DMEL_CRE_00122	FBgn0267165	secondary_candidate	secondary_and_reference_target	yes	no	yes	4886.0	nearest_nonoverlapping	focal_single	medium	1	1	0	obscura_group	FBgn0283471|FBgn0267165	FBgn0283471	FBgn0267165	PASS
DMEL_CRE_00154	FBgn0262483	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	rufa_group	FBgn0262483|FBgn0038331	FBgn0262483	FBgn0038331	PASS
DMEL_CRE_00154	FBgn0038331	secondary_candidate	secondary_and_reference_target	yes	no	yes	1473.0	nearest_nonoverlapping	focal_single	medium	1	1	0	rufa_group	FBgn0262483|FBgn0038331	FBgn0262483	FBgn0038331	PASS
DMEL_CRE_00275	FBgn0032602	primary_candidate	primary_and_reference_target	yes	yes	no	1546.0	nearest_nonoverlapping	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|repleta_group	FBgn0032602|FBgn0032601	FBgn0032602	FBgn0032601	PASS
DMEL_CRE_00275	FBgn0032601	secondary_candidate	secondary_and_reference_target	yes	no	yes	3817.0	nearest_nonoverlapping	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|repleta_group	FBgn0032602|FBgn0032601	FBgn0032602	FBgn0032601	PASS
DMEL_CRE_00276	FBgn0264695	primary_candidate	primary_and_reference_target	yes	yes	no	3006.0	nearest_nonoverlapping	focal_single	medium	1	1	0	obscura_group	FBgn0264695|FBgn0032602	FBgn0264695	FBgn0032602	PASS
DMEL_CRE_00276	FBgn0032602	secondary_candidate	secondary_and_reference_target	yes	no	yes	3336.0	nearest_nonoverlapping	focal_single	medium	1	1	0	obscura_group	FBgn0264695|FBgn0032602	FBgn0264695	FBgn0032602	PASS
DMEL_CRE_00306	FBgn0035719	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_single	medium	1	1	0	repleta_group	FBgn0035719|FBgn0266961	FBgn0035719	FBgn0266961	PASS
DMEL_CRE_00306	FBgn0266961	secondary_candidate	secondary_and_reference_target	yes	no	yes	3658.0	nearest_nonoverlapping	focal_single	medium	1	1	0	repleta_group	FBgn0035719|FBgn0266961	FBgn0035719	FBgn0266961	PASS
DMEL_CRE_00003	FBgn0003575	primary_candidate	primary_and_reference_target	yes	yes	no	10.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003575|FBgn0020381	FBgn0003575	FBgn0020381	PASS
DMEL_CRE_00003	FBgn0020381	secondary_candidate	secondary_and_reference_target	yes	no	yes	665.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003575|FBgn0020381	FBgn0003575	FBgn0020381	PASS
DMEL_CRE_00004	FBgn0025390	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0025390	FBgn0025390	NA	PASS
DMEL_CRE_00019	FBgn0283657	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	FBgn0283657	FBgn0263532	PASS
DMEL_CRE_00019	FBgn0263532	secondary_candidate	secondary_and_reference_target	yes	no	yes	27602.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	FBgn0283657	FBgn0263532	PASS
DMEL_CRE_00021	FBgn0283657	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	FBgn0283657	FBgn0263532	PASS
DMEL_CRE_00021	FBgn0263532	secondary_candidate	secondary_and_reference_target	yes	no	yes	9162.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	FBgn0283657	FBgn0263532	PASS
DMEL_CRE_00029	FBgn0266098	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0266098|FBgn0029747	FBgn0266098	FBgn0029747	PASS
DMEL_CRE_00029	FBgn0029747	secondary_candidate	secondary_and_reference_target	yes	no	yes	14562.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0266098|FBgn0029747	FBgn0266098	FBgn0029747	PASS
DMEL_CRE_00038	FBgn0264386	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264386	FBgn0264386	NA	PASS
DMEL_CRE_00042	FBgn0029895	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0029895|FBgn0029894	FBgn0029895	FBgn0029894	PASS
DMEL_CRE_00042	FBgn0029894	secondary_candidate	secondary_and_reference_target	yes	no	yes	10323.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0029895|FBgn0029894	FBgn0029895	FBgn0029894	PASS
DMEL_CRE_00064	FBgn0261260	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0261260|FBgn0266050	FBgn0261260	FBgn0266050	PASS
DMEL_CRE_00064	FBgn0266050	secondary_candidate	secondary_and_reference_target	yes	no	yes	17465.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0261260|FBgn0266050	FBgn0261260	FBgn0266050	PASS
DMEL_CRE_00072	FBgn0052666	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0052666|FBgn0265749	FBgn0052666	FBgn0265749	PASS
DMEL_CRE_00072	FBgn0265749	secondary_candidate	secondary_and_reference_target	yes	no	yes	17272.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0052666|FBgn0265749	FBgn0052666	FBgn0265749	PASS
DMEL_CRE_00082	FBgn0030412	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0030412|FBgn0015024	FBgn0030412	FBgn0015024	PASS
DMEL_CRE_00082	FBgn0015024	secondary_candidate	secondary_and_reference_target	yes	no	yes	4486.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0030412|FBgn0015024	FBgn0030412	FBgn0015024	PASS
DMEL_CRE_00083	FBgn0265523	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0265523|FBgn0264678	FBgn0265523	FBgn0264678	PASS
DMEL_CRE_00083	FBgn0264678	secondary_candidate	secondary_and_reference_target	yes	no	yes	2627.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0265523|FBgn0264678	FBgn0265523	FBgn0264678	PASS
DMEL_CRE_00115	FBgn0285944	primary_candidate	primary_and_reference_target	yes	yes	no	1504.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0285944|FBgn0030756	FBgn0285944	FBgn0030756	PASS
DMEL_CRE_00115	FBgn0030756	secondary_candidate	secondary_and_reference_target	yes	no	yes	4923.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0285944|FBgn0030756	FBgn0285944	FBgn0030756	PASS
DMEL_CRE_00120	FBgn0003380	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003380|FBgn0030886	FBgn0003380	FBgn0030886	PASS
DMEL_CRE_00120	FBgn0030886	secondary_candidate	secondary_and_reference_target	yes	no	yes	954.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003380|FBgn0030886	FBgn0003380	FBgn0030886	PASS
DMEL_CRE_00153	FBgn0262127	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0262127|FBgn0038256	FBgn0262127	FBgn0038256	PASS
DMEL_CRE_00153	FBgn0038256	secondary_candidate	secondary_and_reference_target	yes	no	yes	5870.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0262127|FBgn0038256	FBgn0262127	FBgn0038256	PASS
DMEL_CRE_00164	FBgn0004652	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0004652|FBgn0051122	FBgn0004652	FBgn0051122	PASS
DMEL_CRE_00164	FBgn0051122	secondary_candidate	secondary_and_reference_target	yes	no	yes	30106.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0004652|FBgn0051122	FBgn0004652	FBgn0051122	PASS
DMEL_CRE_00175	FBgn0264490	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264490|FBgn0038919	FBgn0264490	FBgn0038919	PASS
DMEL_CRE_00175	FBgn0038919	secondary_candidate	secondary_and_reference_target	yes	no	yes	42654.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264490|FBgn0038919	FBgn0264490	FBgn0038919	PASS
DMEL_CRE_00178	FBgn0003118	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0003118|FBgn0267759	FBgn0003118	FBgn0267759	PASS
DMEL_CRE_00178	FBgn0267759	secondary_candidate	secondary_and_reference_target	yes	no	yes	334.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0003118|FBgn0267759	FBgn0003118	FBgn0267759	PASS
DMEL_CRE_00186	FBgn0039588	primary_candidate	primary_and_reference_target	yes	yes	no	7313.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	immigrans_group	FBgn0039588|FBgn0003137	FBgn0039588	FBgn0003137	PASS
DMEL_CRE_00186	FBgn0003137	secondary_candidate	secondary_and_reference_target	yes	no	yes	11806.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	immigrans_group	FBgn0039588|FBgn0003137	FBgn0039588	FBgn0003137	PASS
DMEL_CRE_00203	FBgn0033627	primary_candidate	primary_and_reference_target	yes	yes	no	270.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0033627|FBgn0041241	FBgn0033627	FBgn0041241	PASS
DMEL_CRE_00203	FBgn0041241	secondary_candidate	secondary_and_reference_target	yes	no	yes	3145.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0033627|FBgn0041241	FBgn0033627	FBgn0041241	PASS
DMEL_CRE_00255	FBgn0041092	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	secondary_single	exploratory	1	0	1	repleta_group	FBgn0041092|FBgn0032101	FBgn0041092	FBgn0032101	PASS
DMEL_CRE_00255	FBgn0032101	secondary_candidate	secondary_and_reference_target	yes	no	yes	23626.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	repleta_group	FBgn0041092|FBgn0032101	FBgn0041092	FBgn0032101	PASS
DMEL_CRE_00277	FBgn0264695	primary_candidate	primary_and_reference_target	yes	yes	no	1626.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264695|FBgn0032602	FBgn0264695	FBgn0032602	PASS
DMEL_CRE_00277	FBgn0032602	secondary_candidate	secondary_and_reference_target	yes	no	yes	4926.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264695|FBgn0032602	FBgn0264695	FBgn0032602	PASS
DMEL_CRE_00321	FBgn0041094	primary_candidate	primary_and_reference_target	yes	yes	no	4308.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0041094|FBgn0265928	FBgn0041094	FBgn0265928	PASS
DMEL_CRE_00321	FBgn0265928	secondary_candidate	secondary_and_reference_target	yes	no	yes	9479.0	nearest_nonoverlapping	secondary_single	exploratory	1	0	1	rufa_group	FBgn0041094|FBgn0265928	FBgn0041094	FBgn0265928	PASS
