dmel_cre_id	candidate_priority	downstream_priority	n_total_tier1_clades	n_focal_tier1_clades	n_secondary_only_clades	tier1_clades	fbgn_target_genes	cre_chrom	cre_start0	cre_end0	cre_length_bp	matched_dmel_prediction	n_overlapping_predictions	best_match_tied	exact_coordinate_match	prediction_species_key	prediction_species	prediction_chrom	prediction_start0	prediction_end0	prediction_length_bp	overlap_bp	overlap_fraction_cre	overlap_fraction_prediction	flanking_gene	dmel_ortholog_flanking_gene	dmel_fbgn_flanking_gene	distance_flanking_gene	next_flanking_gene	dmel_ortholog_next_flanking_gene	dmel_fbgn_next_flanking_gene	distance_next_gene	gene_distance_qc
DMEL_CRE_00275	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|repleta_group	FBgn0032602|FBgn0032601	NT_033779.5	16760700	16762600	1900	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033779.5	16760700	16762600	1900	1900	1.0	1.0	gene-Dmel_CG13278	gene-Dmel_CG13278	FBgn0032602	1546	gene-Dmel_CG17914	gene-Dmel_CG17914	FBgn0032601	3817	PASS
DMEL_CRE_00017	focal_single	medium	1	1	0	teissieri_group	FBgn0015286|FBgn0283657	NC_004354.4	3718610	3719160	550	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	3718610	3719160	550	550	1.0	1.0	gene-Dmel_CG2849	gene-Dmel_CG2849	FBgn0015286	0	gene-Dmel_CG34412	gene-Dmel_CG34412	FBgn0283657	1397	PASS
DMEL_CRE_00030	focal_single	medium	1	1	0	teissieri_group	FBgn0266098|FBgn0266097	NC_004354.4	5224630	5225590	960	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	5224630	5225590	960	960	1.0	1.0	gene-Dmel_CG44835	gene-Dmel_CG44835	FBgn0266098	0	gene-Dmel_CR44834	gene-Dmel_CR44834	FBgn0266097	36293	PASS
DMEL_CRE_00077	focal_single	medium	1	1	0	immigrans_group	FBgn0267001|FBgn0030377	NC_004354.4	12173380	12174130	750	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	12173380	12174130	750	750	1.0	1.0	gene-Dmel_CG42338	gene-Dmel_CG42338	FBgn0267001	0	gene-Dmel_CG1924	gene-Dmel_CG1924	FBgn0030377	3060	PASS
DMEL_CRE_00093	focal_single	medium	1	1	0	obscura_group	FBgn0004169|FBgn0265865	NC_004354.4	13601300	13602210	910	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	13601300	13602210	910	910	1.0	1.0	gene-Dmel_CG7107	gene-Dmel_CG7107	FBgn0004169	0	gene-Dmel_CR44654	gene-Dmel_CR44654	FBgn0265865	3059	PASS
DMEL_CRE_00106	focal_single	medium	1	1	0	teissieri_group	FBgn0003463|FBgn0265596	NC_004354.4	15618270	15619020	750	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	15618270	15619020	750	750	1.0	1.0	gene-Dmel_CG9224	gene-Dmel_CG9224	FBgn0003463	0	gene-Dmel_CR44423	gene-Dmel_CR44423	FBgn0265596	18038	PASS
DMEL_CRE_00121	focal_single	medium	1	1	0	obscura_group	FBgn0003380|FBgn0030886	NC_004354.4	18014510	18015060	550	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	18014510	18015060	550	550	1.0	1.0	gene-Dmel_CG12348	gene-Dmel_CG12348	FBgn0003380	0	gene-Dmel_CG12672	gene-Dmel_CG12672	FBgn0030886	6954	PASS
DMEL_CRE_00122	focal_single	medium	1	1	0	obscura_group	FBgn0283471|FBgn0267165	NC_004354.4	18115660	18116890	1230	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	18115660	18116890	1230	1230	1.0	1.0	gene-Dmel_CG7178	gene-Dmel_CG7178	FBgn0283471	0	gene-Dmel_CR45605	gene-Dmel_CR45605	FBgn0267165	4886	PASS
DMEL_CRE_00154	focal_single	medium	1	1	0	rufa_group	FBgn0262483|FBgn0038331	NT_033777.3	15375510	15376210	700	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	15375510	15376210	700	700	1.0	1.0	gene-Dmel_CG43073	gene-Dmel_CG43073	FBgn0262483	0	gene-Dmel_CG5073	gene-Dmel_CG5073	FBgn0038331	1473	PASS
DMEL_CRE_00276	focal_single	medium	1	1	0	obscura_group	FBgn0264695|FBgn0032602	NT_033779.5	16763230	16764290	1060	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033779.5	16763230	16764290	1060	1060	1.0	1.0	gene-Dmel_CG17927	gene-Dmel_CG17927	FBgn0264695	3006	gene-Dmel_CG13278	gene-Dmel_CG13278	FBgn0032602	3336	PASS
DMEL_CRE_00306	focal_single	medium	1	1	0	repleta_group	FBgn0035719|FBgn0266961	NT_037436.4	6943140	6943860	720	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_037436.4	6943140	6943860	720	720	1.0	1.0	gene-Dmel_CG14821	gene-Dmel_CG14821	FBgn0035719	0	gene-Dmel_CR45412	gene-Dmel_CR45412	FBgn0266961	3658	PASS
DMEL_CRE_00003	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003575|FBgn0020381	NC_004354.4	635880	636710	830	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	635880	636710	830	830	1.0	1.0	gene-Dmel_CG6222	gene-Dmel_CG6222	FBgn0003575	10	gene-Dmel_CG7486	gene-Dmel_CG7486	FBgn0020381	665	PASS
DMEL_CRE_00004	secondary_single	exploratory	1	0	1	rufa_group	FBgn0025390	NC_004354.4	1640140	1640770	630	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	1640140	1640770	630	630	1.0	1.0	gene-Dmel_CG14796	gene-Dmel_CG14796	FBgn0025390	0	gene-Dmel_CG14796	gene-Dmel_CG14796	FBgn0025390	0	PASS
DMEL_CRE_00019	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	NC_004354.4	3749780	3750550	770	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	3749780	3750550	770	770	1.0	1.0	gene-Dmel_CG34412	gene-Dmel_CG34412	FBgn0283657	0	gene-Dmel_CR43517	gene-Dmel_CR43517	FBgn0263532	27602	PASS
DMEL_CRE_00021	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	NC_004354.4	3768220	3768810	590	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	3768220	3768810	590	590	1.0	1.0	gene-Dmel_CG34412	gene-Dmel_CG34412	FBgn0283657	0	gene-Dmel_CR43517	gene-Dmel_CR43517	FBgn0263532	9162	PASS
DMEL_CRE_00029	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0266098|FBgn0029747	NC_004354.4	5165620	5166280	660	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	5165620	5166280	660	660	1.0	1.0	gene-Dmel_CG44835	gene-Dmel_CG44835	FBgn0266098	0	gene-Dmel_CG5062	gene-Dmel_CG5062	FBgn0029747	14562	PASS
DMEL_CRE_00038	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264386	NC_004354.4	6133360	6134170	810	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	6133360	6134170	810	810	1.0	1.0	gene-Dmel_CG15899	gene-Dmel_CG15899	FBgn0264386	0	gene-G00000000813	gene-G00000000813	NA	12837	PASS
DMEL_CRE_00042	secondary_single	exploratory	1	0	1	obscura_group	FBgn0029895|FBgn0029894	NC_004354.4	6708780	6709390	610	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	6708780	6709390	610	610	1.0	1.0	gene-Dmel_CG14441	gene-Dmel_CG14441	FBgn0029895	0	gene-Dmel_CG14440	gene-Dmel_CG14440	FBgn0029894	10323	PASS
DMEL_CRE_00064	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0261260|FBgn0266050	NC_004354.4	9428350	9429040	690	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	9428350	9429040	690	690	1.0	1.0	gene-Dmel_CG42611	gene-Dmel_CG42611	FBgn0261260	0	gene-Dmel_CG44815	gene-Dmel_CG44815	FBgn0266050	17465	PASS
DMEL_CRE_00072	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0052666|FBgn0265749	NC_004354.4	11510170	11510770	600	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	11510170	11510770	600	600	1.0	1.0	gene-Dmel_CG32666	gene-Dmel_CG32666	FBgn0052666	0	gene-Dmel_CR44556	gene-Dmel_CR44556	FBgn0265749	17272	PASS
DMEL_CRE_00082	secondary_single	exploratory	1	0	1	rufa_group	FBgn0030412|FBgn0015024	NC_004354.4	12649140	12650120	980	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	12649140	12650120	980	980	1.0	1.0	gene-Dmel_CG17762	gene-Dmel_CG17762	FBgn0030412	0	gene-Dmel_CG2028	gene-Dmel_CG2028	FBgn0015024	4486	PASS
DMEL_CRE_00083	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0265523|FBgn0264678	NC_004354.4	12733500	12734080	580	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	12733500	12734080	580	580	1.0	1.0	gene-Dmel_CG4013	gene-Dmel_CG4013	FBgn0265523	0	gene-Dmel_CR43963	gene-Dmel_CR43963	FBgn0264678	2627	PASS
DMEL_CRE_00115	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0285944|FBgn0030756	NC_004354.4	16534230	16535100	870	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	16534230	16535100	870	870	1.0	1.0	gene-Dmel_CG9907	gene-Dmel_CG9907	FBgn0285944	1504	gene-Dmel_CG9903	gene-Dmel_CG9903	FBgn0030756	4923	PASS
DMEL_CRE_00120	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003380|FBgn0030886	NC_004354.4	18008140	18009060	920	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	18008140	18009060	920	920	1.0	1.0	gene-Dmel_CG12348	gene-Dmel_CG12348	FBgn0003380	0	gene-Dmel_CG12672	gene-Dmel_CG12672	FBgn0030886	954	PASS
DMEL_CRE_00153	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0262127|FBgn0038256	NT_033777.3	14718890	14719620	730	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	14718890	14719620	730	730	1.0	1.0	gene-Dmel_CG33967	gene-Dmel_CG33967	FBgn0262127	0	gene-Dmel_CG7530	gene-Dmel_CG7530	FBgn0038256	5870	PASS
DMEL_CRE_00164	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0004652|FBgn0051122	NT_033777.3	18442850	18443480	630	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	18442850	18443480	630	630	1.0	1.0	gene-Dmel_CG14307	gene-Dmel_CG14307	FBgn0004652	0	gene-Dmel_CG31122	gene-Dmel_CG31122	FBgn0051122	30106	PASS
DMEL_CRE_00175	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264490|FBgn0038919	NT_033777.3	21958030	21958700	670	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	21958030	21958700	670	670	1.0	1.0	gene-Dmel_CG18389	gene-Dmel_CG18389	FBgn0264490	0	gene-Dmel_CG17843	gene-Dmel_CG17843	FBgn0038919	42654	PASS
DMEL_CRE_00178	secondary_single	exploratory	1	0	1	rufa_group	FBgn0003118|FBgn0267759	NT_033777.3	23333170	23333740	570	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	23333170	23333740	570	570	1.0	1.0	gene-Dmel_CG17077	gene-Dmel_CG17077	FBgn0003118	0	gene-Dmel_CR46090	gene-Dmel_CR46090	FBgn0267759	334	PASS
DMEL_CRE_00186	secondary_single	exploratory	1	0	1	immigrans_group	FBgn0039588|FBgn0003137	NT_033777.3	28551870	28552630	760	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	28551870	28552630	760	760	1.0	1.0	gene-Dmel_CG12413	gene-Dmel_CG12413	FBgn0039588	7313	gene-Dmel_CG33103	gene-Dmel_CG33103	FBgn0003137	11806	PASS
DMEL_CRE_00203	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0033627|FBgn0041241	NT_033778.4	11366440	11367050	610	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033778.4	11366440	11367050	610	610	1.0	1.0	gene-Dmel_CG13204	gene-Dmel_CG13204	FBgn0033627	270	gene-Dmel_CG30030	gene-Dmel_CG30030	FBgn0041241	3145	PASS
DMEL_CRE_00255	secondary_single	exploratory	1	0	1	repleta_group	FBgn0041092|FBgn0032101	NT_033779.5	9190020	9190640	620	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033779.5	9190020	9190640	620	620	1.0	1.0	gene-Dmel_CG13109	gene-Dmel_CG13109	FBgn0041092	0	gene-Dmel_CG9586	gene-Dmel_CG9586	FBgn0032101	23626	PASS
DMEL_CRE_00277	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264695|FBgn0032602	NT_033779.5	16764940	16765980	1040	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033779.5	16764940	16765980	1040	1040	1.0	1.0	gene-Dmel_CG17927	gene-Dmel_CG17927	FBgn0264695	1626	gene-Dmel_CG13278	gene-Dmel_CG13278	FBgn0032602	4926	PASS
DMEL_CRE_00321	secondary_single	exploratory	1	0	1	rufa_group	FBgn0041094|FBgn0265928	NT_037436.4	11260400	11260980	580	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_037436.4	11260400	11260980	580	580	1.0	1.0	gene-Dmel_CG7590	gene-Dmel_CG7590	FBgn0041094	4308	gene-Dmel_CR44717	gene-Dmel_CR44717	FBgn0265928	9479	PASS
