dmel_cre_id	n_present	n_turnover_candidate	n_no_detected_CRE	n_uncertain	n_evaluable	positional_conservation_rate_evaluable	turnover_candidate_rate_evaluable
DMEL_CRE_00130	7	2	15	15	24	0.2916666666666667	0.08333333333333333
DMEL_CRE_00131	2	15	1	21	18	0.1111111111111111	0.8333333333333334
DMEL_CRE_00132	4	1	6	28	11	0.36363636363636365	0.09090909090909091
DMEL_CRE_00133	0	0	29	10	29	0.0	0.0
DMEL_CRE_00134	0	0	0	39	0		
DMEL_CRE_00135	2	8	9	20	19	0.10526315789473684	0.42105263157894735
DMEL_CRE_00136	0	0	11	28	11	0.0	0.0
DMEL_CRE_00137	0	2	30	7	32	0.0	0.0625
DMEL_CRE_00138	15	0	24	0	39	0.38461538461538464	0.0
DMEL_CRE_00139	8	0	31	0	39	0.20512820512820512	0.0
DMEL_CRE_00140	1	5	29	4	35	0.02857142857142857	0.14285714285714285
DMEL_CRE_00141	1	12	9	17	22	0.045454545454545456	0.5454545454545454
DMEL_CRE_00142	3	0	31	5	34	0.08823529411764706	0.0
DMEL_CRE_00143	2	18	19	0	39	0.05128205128205128	0.46153846153846156
DMEL_CRE_00144	4	13	21	1	38	0.10526315789473684	0.34210526315789475
DMEL_CRE_00145	14	4	17	4	35	0.4	0.11428571428571428
DMEL_CRE_00146	8	9	20	2	37	0.21621621621621623	0.24324324324324326
DMEL_CRE_00147	9	7	23	0	39	0.23076923076923078	0.1794871794871795
DMEL_CRE_00148	7	9	21	2	37	0.1891891891891892	0.24324324324324326
DMEL_CRE_00149	0	0	39	0	39	0.0	0.0
DMEL_CRE_00150	2	2	31	4	35	0.05714285714285714	0.05714285714285714
DMEL_CRE_00151	13	13	6	7	32	0.40625	0.40625
DMEL_CRE_00152	6	24	4	5	34	0.17647058823529413	0.7058823529411765
DMEL_CRE_00153	10	22	7	0	39	0.2564102564102564	0.5641025641025641
DMEL_CRE_00154	7	5	14	13	26	0.2692307692307692	0.19230769230769232
DMEL_CRE_00155	18	1	17	3	36	0.5	0.027777777777777776
DMEL_CRE_00156	1	0	22	16	23	0.043478260869565216	0.0
DMEL_CRE_00157	16	1	22	0	39	0.41025641025641024	0.02564102564102564
DMEL_CRE_00158	2	11	24	2	37	0.05405405405405406	0.2972972972972973
DMEL_CRE_00159	1	0	33	5	34	0.029411764705882353	0.0
DMEL_CRE_00160	0	0	8	31	8	0.0	0.0
DMEL_CRE_00161	1	1	37	0	39	0.02564102564102564	0.02564102564102564
DMEL_CRE_00162	2	3	34	0	39	0.05128205128205128	0.07692307692307693
DMEL_CRE_00163	1	0	12	26	13	0.07692307692307693	0.0
DMEL_CRE_00164	1	28	8	2	37	0.02702702702702703	0.7567567567567568
DMEL_CRE_00165	1	6	19	13	26	0.038461538461538464	0.23076923076923078
DMEL_CRE_00166	3	2	33	1	38	0.07894736842105263	0.05263157894736842
DMEL_CRE_00167	4	10	15	10	29	0.13793103448275862	0.3448275862068966
DMEL_CRE_00168	0	3	27	9	30	0.0	0.1
DMEL_CRE_00169	7	14	13	5	34	0.20588235294117646	0.4117647058823529
DMEL_CRE_00170	0	7	11	21	18	0.0	0.3888888888888889
DMEL_CRE_00171	4	1	34	0	39	0.10256410256410256	0.02564102564102564
DMEL_CRE_00172	0	7	13	19	20	0.0	0.35
DMEL_CRE_00173	1	0	6	32	7	0.14285714285714285	0.0
DMEL_CRE_00174	0	14	4	21	18	0.0	0.7777777777777778
DMEL_CRE_00175	1	26	6	6	33	0.030303030303030304	0.7878787878787878
DMEL_CRE_00176	7	3	11	18	21	0.3333333333333333	0.14285714285714285
DMEL_CRE_00177	0	0	7	32	7	0.0	0.0
DMEL_CRE_00178	3	23	11	2	37	0.08108108108108109	0.6216216216216216
DMEL_CRE_00179	0	0	39	0	39	0.0	0.0
DMEL_CRE_00180	0	1	26	12	27	0.0	0.037037037037037035
DMEL_CRE_00181	0	1	5	33	6	0.0	0.16666666666666666
DMEL_CRE_00182	0	7	25	7	32	0.0	0.21875
DMEL_CRE_00183	1	5	18	15	24	0.041666666666666664	0.20833333333333334
DMEL_CRE_00184	8	0	20	11	28	0.2857142857142857	0.0
DMEL_CRE_00185	0	1	22	16	23	0.0	0.043478260869565216
DMEL_CRE_00186	7	10	10	12	27	0.25925925925925924	0.37037037037037035
DMEL_CRE_00187	10	1	7	21	18	0.5555555555555556	0.05555555555555555
DMEL_CRE_00188	2	0	4	33	6	0.3333333333333333	0.0
DMEL_CRE_00189	11	5	22	1	38	0.2894736842105263	0.13157894736842105
DMEL_CRE_00190	1	0	38	0	39	0.02564102564102564	0.0
DMEL_CRE_00191	0	0	36	3	36	0.0	0.0
DMEL_CRE_00192	0	0	0	39	0		
DMEL_CRE_00193	5	12	9	13	26	0.19230769230769232	0.46153846153846156
DMEL_CRE_00194	1	0	24	14	25	0.04	0.0
DMEL_CRE_00195	1	0	15	23	16	0.0625	0.0
DMEL_CRE_00196	6	3	16	14	25	0.24	0.12
DMEL_CRE_00197	7	25	6	1	38	0.18421052631578946	0.6578947368421053
DMEL_CRE_00198	0	22	17	0	39	0.0	0.5641025641025641
DMEL_CRE_00199	4	0	34	1	38	0.10526315789473684	0.0
DMEL_CRE_00200	4	5	29	1	38	0.10526315789473684	0.13157894736842105
DMEL_CRE_00201	3	4	11	21	18	0.16666666666666666	0.2222222222222222
DMEL_CRE_00202	6	6	25	2	37	0.16216216216216217	0.16216216216216217
DMEL_CRE_00203	4	14	18	3	36	0.1111111111111111	0.3888888888888889
DMEL_CRE_00204	2	5	32	0	39	0.05128205128205128	0.1282051282051282
DMEL_CRE_00205	18	0	0	21	18	1.0	0.0
DMEL_CRE_00206	11	4	24	0	39	0.28205128205128205	0.10256410256410256
DMEL_CRE_00207	1	2	14	22	17	0.058823529411764705	0.11764705882352941
DMEL_CRE_00208	1	6	26	6	33	0.030303030303030304	0.18181818181818182
DMEL_CRE_00209	0	13	9	17	22	0.0	0.5909090909090909
DMEL_CRE_00210	2	4	28	5	34	0.058823529411764705	0.11764705882352941
DMEL_CRE_00211	2	0	15	22	17	0.11764705882352941	0.0
DMEL_CRE_00212	2	4	16	17	22	0.09090909090909091	0.18181818181818182
DMEL_CRE_00213	3	2	10	24	15	0.2	0.13333333333333333
DMEL_CRE_00214	0	0	38	1	38	0.0	0.0
DMEL_CRE_00215	3	2	31	3	36	0.08333333333333333	0.05555555555555555
DMEL_CRE_00216	1	8	22	8	31	0.03225806451612903	0.25806451612903225
DMEL_CRE_00217	4	2	27	6	33	0.12121212121212122	0.06060606060606061
DMEL_CRE_00218	4	0	34	1	38	0.10526315789473684	0.0
DMEL_CRE_00219	2	0	36	1	38	0.05263157894736842	0.0
DMEL_CRE_00220	1	12	24	2	37	0.02702702702702703	0.32432432432432434
DMEL_CRE_00221	0	3	7	29	10	0.0	0.3
DMEL_CRE_00222	0	7	14	18	21	0.0	0.3333333333333333
DMEL_CRE_00223	9	7	22	1	38	0.23684210526315788	0.18421052631578946
DMEL_CRE_00224	0	0	39	0	39	0.0	0.0
DMEL_CRE_00225	2	1	35	1	38	0.05263157894736842	0.02631578947368421
DMEL_CRE_00226	4	16	18	1	38	0.10526315789473684	0.42105263157894735
DMEL_CRE_00227	2	19	17	1	38	0.05263157894736842	0.5
DMEL_CRE_00228	8	14	17	0	39	0.20512820512820512	0.358974358974359
DMEL_CRE_00229	0	1	17	21	18	0.0	0.05555555555555555
DMEL_CRE_00230	7	9	23	0	39	0.1794871794871795	0.23076923076923078
DMEL_CRE_00231	2	1	16	20	19	0.10526315789473684	0.05263157894736842
DMEL_CRE_00232	0	7	23	9	30	0.0	0.23333333333333334
DMEL_CRE_00233	21	0	16	2	37	0.5675675675675675	0.0
DMEL_CRE_00234	4	26	6	3	36	0.1111111111111111	0.7222222222222222
DMEL_CRE_00235	3	0	15	21	18	0.16666666666666666	0.0
DMEL_CRE_00236	10	0	8	21	18	0.5555555555555556	0.0
DMEL_CRE_00237	10	0	11	18	21	0.47619047619047616	0.0
DMEL_CRE_00238	1	2	19	17	22	0.045454545454545456	0.09090909090909091
DMEL_CRE_00239	2	0	37	0	39	0.05128205128205128	0.0
DMEL_CRE_00240	3	0	34	2	37	0.08108108108108109	0.0
DMEL_CRE_00241	5	7	27	0	39	0.1282051282051282	0.1794871794871795
DMEL_CRE_00242	2	2	17	18	21	0.09523809523809523	0.09523809523809523
DMEL_CRE_00243	0	6	16	17	22	0.0	0.2727272727272727
DMEL_CRE_00244	0	1	27	11	28	0.0	0.03571428571428571
DMEL_CRE_00245	0	2	37	0	39	0.0	0.05128205128205128
DMEL_CRE_00246	1	0	9	29	10	0.1	0.0
DMEL_CRE_00247	2	0	16	21	18	0.1111111111111111	0.0
DMEL_CRE_00248	2	6	30	1	38	0.05263157894736842	0.15789473684210525
DMEL_CRE_00249	0	0	17	22	17	0.0	0.0
DMEL_CRE_00250	2	3	33	1	38	0.05263157894736842	0.07894736842105263
DMEL_CRE_00251	0	3	16	20	19	0.0	0.15789473684210525
DMEL_CRE_00252	1	14	22	2	37	0.02702702702702703	0.3783783783783784
DMEL_CRE_00253	0	0	10	29	10	0.0	0.0
DMEL_CRE_00254	0	0	14	25	14	0.0	0.0
DMEL_CRE_00255	15	6	17	1	38	0.39473684210526316	0.15789473684210525
DMEL_CRE_00256	0	10	8	21	18	0.0	0.5555555555555556
DMEL_CRE_00257	3	0	35	1	38	0.07894736842105263	0.0
DMEL_CRE_00258	0	3	30	6	33	0.0	0.09090909090909091
DMEL_CRE_00259	0	0	32	7	32	0.0	0.0
DMEL_CRE_00260	1	0	3	35	4	0.25	0.0
DMEL_CRE_00261	0	0	4	35	4	0.0	0.0
DMEL_CRE_00262	1	1	23	14	25	0.04	0.04
DMEL_CRE_00263	0	4	35	0	39	0.0	0.10256410256410256
DMEL_CRE_00264	3	2	14	20	19	0.15789473684210525	0.10526315789473684
DMEL_CRE_00265	3	14	21	1	38	0.07894736842105263	0.3684210526315789
DMEL_CRE_00266	11	0	28	0	39	0.28205128205128205	0.0
DMEL_CRE_00267	0	8	6	25	14	0.0	0.5714285714285714
DMEL_CRE_00268	0	0	34	5	34	0.0	0.0
DMEL_CRE_00269	9	9	21	0	39	0.23076923076923078	0.23076923076923078
DMEL_CRE_00270	0	0	39	0	39	0.0	0.0
DMEL_CRE_00271	1	2	34	2	37	0.02702702702702703	0.05405405405405406
DMEL_CRE_00272	4	9	20	6	33	0.12121212121212122	0.2727272727272727
DMEL_CRE_00273	16	5	18	0	39	0.41025641025641024	0.1282051282051282
DMEL_CRE_00274	0	10	6	23	16	0.0	0.625
DMEL_CRE_00275	10	28	1	0	39	0.2564102564102564	0.717948717948718
DMEL_CRE_00276	14	2	0	23	16	0.875	0.125
DMEL_CRE_00277	15	4	0	20	19	0.7894736842105263	0.21052631578947367
DMEL_CRE_00278	33	6	0	0	39	0.8461538461538461	0.15384615384615385
DMEL_CRE_00279	3	10	25	1	38	0.07894736842105263	0.2631578947368421
DMEL_CRE_00280	0	0	38	1	38	0.0	0.0
DMEL_CRE_00281	0	0	38	1	38	0.0	0.0
DMEL_CRE_00282	0	0	34	5	34	0.0	0.0
DMEL_CRE_00283	0	0	33	6	33	0.0	0.0
DMEL_CRE_00284	0	0	35	4	35	0.0	0.0
DMEL_CRE_00285	0	0	34	5	34	0.0	0.0
DMEL_CRE_00286	0	0	37	2	37	0.0	0.0
DMEL_CRE_00287	0	0	0	39	0		
DMEL_CRE_00288	3	0	15	21	18	0.16666666666666666	0.0
DMEL_CRE_00289	0	10	8	21	18	0.0	0.5555555555555556
DMEL_CRE_00290	2	0	37	0	39	0.05128205128205128	0.0
DMEL_CRE_00291	28	5	5	1	38	0.7368421052631579	0.13157894736842105
DMEL_CRE_00292	9	14	12	4	35	0.2571428571428571	0.4
DMEL_CRE_00293	3	0	36	0	39	0.07692307692307693	0.0
DMEL_CRE_00294	0	19	1	19	20	0.0	0.95
DMEL_CRE_00295	23	0	16	0	39	0.5897435897435898	0.0
DMEL_CRE_00296	0	10	29	0	39	0.0	0.2564102564102564
DMEL_CRE_00297	18	4	17	0	39	0.46153846153846156	0.10256410256410256
DMEL_CRE_00298	4	1	22	12	27	0.14814814814814814	0.037037037037037035
DMEL_CRE_00299	2	5	21	11	28	0.07142857142857142	0.17857142857142858
DMEL_CRE_00300	1	2	28	8	31	0.03225806451612903	0.06451612903225806
DMEL_CRE_00301	2	0	9	28	11	0.18181818181818182	0.0
DMEL_CRE_00302	22	0	6	11	28	0.7857142857142857	0.0
DMEL_CRE_00303	1	9	13	16	23	0.043478260869565216	0.391304347826087
DMEL_CRE_00304	2	17	20	0	39	0.05128205128205128	0.4358974358974359
DMEL_CRE_00305	2	1	19	17	22	0.09090909090909091	0.045454545454545456
DMEL_CRE_00306	11	3	25	0	39	0.28205128205128205	0.07692307692307693
DMEL_CRE_00307	0	0	13	26	13	0.0	0.0
DMEL_CRE_00308	5	1	32	1	38	0.13157894736842105	0.02631578947368421
DMEL_CRE_00309	2	14	11	12	27	0.07407407407407407	0.5185185185185185
DMEL_CRE_00310	17	16	0	6	33	0.5151515151515151	0.48484848484848486
DMEL_CRE_00311	33	6	0	0	39	0.8461538461538461	0.15384615384615385
DMEL_CRE_00312	0	2	33	4	35	0.0	0.05714285714285714
DMEL_CRE_00313	0	14	23	2	37	0.0	0.3783783783783784
DMEL_CRE_00314	0	3	24	12	27	0.0	0.1111111111111111
DMEL_CRE_00315	2	10	14	13	26	0.07692307692307693	0.38461538461538464
DMEL_CRE_00316	3	2	7	27	12	0.25	0.16666666666666666
DMEL_CRE_00317	0	2	15	22	17	0.0	0.11764705882352941
DMEL_CRE_00318	1	32	6	0	39	0.02564102564102564	0.8205128205128205
DMEL_CRE_00319	24	0	12	3	36	0.6666666666666666	0.0
DMEL_CRE_00320	0	0	39	0	39	0.0	0.0
DMEL_CRE_00321	5	9	6	19	20	0.25	0.45
DMEL_CRE_00322	0	2	22	15	24	0.0	0.08333333333333333
DMEL_CRE_00323	1	4	7	27	12	0.08333333333333333	0.3333333333333333
DMEL_CRE_00324	7	1	29	2	37	0.1891891891891892	0.02702702702702703
DMEL_CRE_00325	2	0	36	1	38	0.05263157894736842	0.0
DMEL_CRE_00326	0	0	36	3	36	0.0	0.0
DMEL_CRE_00327	0	0	39	0	39	0.0	0.0
DMEL_CRE_00328	7	4	11	17	22	0.3181818181818182	0.18181818181818182
DMEL_CRE_00329	11	6	22	0	39	0.28205128205128205	0.15384615384615385
DMEL_CRE_00330	10	22	2	5	34	0.29411764705882354	0.6470588235294118
DMEL_CRE_00331	19	18	2	0	39	0.48717948717948717	0.46153846153846156
DMEL_CRE_00332	6	11	13	9	30	0.2	0.36666666666666664
DMEL_CRE_00333	3	7	8	21	18	0.16666666666666666	0.3888888888888889
DMEL_CRE_00334	0	0	17	22	17	0.0	0.0
DMEL_CRE_00335	0	9	28	2	37	0.0	0.24324324324324326
DMEL_CRE_00336	1	0	35	3	36	0.027777777777777776	0.0
DMEL_CRE_00337	2	16	17	4	35	0.05714285714285714	0.45714285714285713
