dmel_cre_id	dazt	dbif	dbir	dbun	dequ	dfor	dfun	dimm	dkik	dmir	dnas	dobs	dper	dpha	dpse	druf	dsub	dsul	dsuz	dtei	dtro	dvir	zdav	zind	ztub	d_affinis	d_arizonae	d_bipectinata	d_buzzatii	d_ezoana	d_hydei	d_littoralis	d_lutescens	d_mercatorum	d_mojavensis	d_novamexicana	d_repleta	d_serrata	d_simulans
DMEL_CRE_00011	uncertain	uncertain	present	present	uncertain	uncertain	present	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	present	turnover_candidate	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	turnover_candidate	present	present
DMEL_CRE_00012	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	present
DMEL_CRE_00013	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	uncertain	turnover_candidate	uncertain	uncertain	no_detected_CRE	turnover_candidate	uncertain	no_detected_CRE	turnover_candidate	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE
DMEL_CRE_00014	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	turnover_candidate	present
DMEL_CRE_00015	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	turnover_candidate	no_detected_CRE
DMEL_CRE_00016	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE
DMEL_CRE_00017	present	turnover_candidate	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	no_detected_CRE	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	present	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate
DMEL_CRE_00018	uncertain	present	present	present	present	uncertain	uncertain	uncertain	present	turnover_candidate	present	uncertain	uncertain	uncertain	present	present	uncertain	present	present	present	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	present	uncertain	turnover_candidate	uncertain	turnover_candidate	present	uncertain	uncertain	uncertain	uncertain	present	present
DMEL_CRE_00019	uncertain	uncertain	present	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	present	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate
DMEL_CRE_00020	present	no_detected_CRE	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	no_detected_CRE	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	uncertain	present	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	present
DMEL_CRE_00021	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate
DMEL_CRE_00022	no_detected_CRE	no_detected_CRE	present	present	no_detected_CRE	present	no_detected_CRE	present	no_detected_CRE	present	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	present	present	present	present	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	present
DMEL_CRE_00023	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	present	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	present	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE
DMEL_CRE_00024	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	no_detected_CRE	present	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
DMEL_CRE_00025	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE
DMEL_CRE_00026	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	present	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	present	turnover_candidate	present	present
DMEL_CRE_00027	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	uncertain	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
DMEL_CRE_00028	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	present	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	present	present
DMEL_CRE_00029	no_detected_CRE	no_detected_CRE	present	present	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	present	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	present	present	turnover_candidate	turnover_candidate	turnover_candidate	present	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	present	uncertain	turnover_candidate	uncertain	uncertain	present	uncertain	uncertain	turnover_candidate	uncertain	present	present
DMEL_CRE_00030	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	present	turnover_candidate	turnover_candidate	turnover_candidate	present	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	present	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	present	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	present
DMEL_CRE_00031	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	present	turnover_candidate	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	uncertain	present	turnover_candidate	no_detected_CRE	uncertain	uncertain	uncertain	turnover_candidate	no_detected_CRE	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	uncertain	present	uncertain	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
DMEL_CRE_00032	no_detected_CRE	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate	uncertain	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate
DMEL_CRE_00033	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	present	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	present	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	present
DMEL_CRE_00034	no_detected_CRE	no_detected_CRE	present	turnover_candidate	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	present	no_detected_CRE	uncertain	no_detected_CRE	present	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	present	present
DMEL_CRE_00035	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	present	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	present
DMEL_CRE_00036	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	turnover_candidate	no_detected_CRE
DMEL_CRE_00037	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE
DMEL_CRE_00038	present	present	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	turnover_candidate	uncertain	turnover_candidate	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	turnover_candidate	uncertain	no_detected_CRE	present	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	turnover_candidate	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	turnover_candidate
DMEL_CRE_00039	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
DMEL_CRE_00040	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	present	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	present	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present
DMEL_CRE_00041	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
DMEL_CRE_00042	turnover_candidate	present	present	present	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	present	present	turnover_candidate	turnover_candidate	present	turnover_candidate	present	present	turnover_candidate	turnover_candidate	present	no_detected_CRE	uncertain	turnover_candidate	no_detected_CRE	present	uncertain	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	present	no_detected_CRE
DMEL_CRE_00043	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	turnover_candidate	turnover_candidate	no_detected_CRE	uncertain	turnover_candidate	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	turnover_candidate	no_detected_CRE	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	turnover_candidate	uncertain	turnover_candidate	no_detected_CRE
DMEL_CRE_00044	present	uncertain	turnover_candidate	no_detected_CRE	uncertain	uncertain	present	uncertain	present	uncertain	uncertain	present	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	turnover_candidate	no_detected_CRE	uncertain	uncertain	turnover_candidate	uncertain	uncertain	no_detected_CRE	uncertain	present	uncertain	present	uncertain	uncertain	turnover_candidate	turnover_candidate	present	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE
DMEL_CRE_00045	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	turnover_candidate
DMEL_CRE_00046	present	uncertain	no_detected_CRE	turnover_candidate	uncertain	uncertain	uncertain	uncertain	turnover_candidate	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	turnover_candidate	uncertain	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	uncertain	turnover_candidate	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	present
DMEL_CRE_00047	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	present	uncertain	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE
DMEL_CRE_00048	uncertain	uncertain	present	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	uncertain	no_detected_CRE	no_detected_CRE
DMEL_CRE_00049	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	uncertain	present	present	uncertain	no_detected_CRE	present	uncertain	uncertain	present	no_detected_CRE	no_detected_CRE	present	present	no_detected_CRE	uncertain	uncertain	uncertain	present	present	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain	present	uncertain	uncertain	uncertain	uncertain	present	present
DMEL_CRE_00050	present	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	present	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
DMEL_CRE_00051	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	uncertain	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
DMEL_CRE_00052	present	present	present	present	no_detected_CRE	present	turnover_candidate	turnover_candidate	turnover_candidate	present	present	turnover_candidate	uncertain	turnover_candidate	present	present	present	present	present	present	turnover_candidate	present	present	turnover_candidate	uncertain	present	turnover_candidate	present	turnover_candidate	present	turnover_candidate	present	present	turnover_candidate	turnover_candidate	present	turnover_candidate	present	present
